Genome,OG,DC.M.48.1,DC.H.48.1
MGYG000000001,LCOG0057,38643264,0
MGYG000000001,LCOG0080,0,0
MGYG000000001,LCOG0094,29434942,0
MGYG000000001,LCOG0493,775124329,0
MGYG000000001,LCOG1151,21052348,0
MGYG000000002,73K9R,0,0
MGYG000000002,LCOG0544,25264843,0
MGYG000000002,LCOG1136,217351343,0
MGYG000000002,LCOG3839,33077895,0
MGYG000000013,LCOG0674,4791318,0
MGYG000000013,LCOG0849,956709,0
MGYG000000013,LCOG1013,4791318,0
MGYG000000013,LCOG1014,4791318,0
MGYG000000013,LCOG1143,4791318,0
MGYG000000013,LCOG1262,71324687,779077
MGYG000000013,LCOG1884,19024561,0
MGYG000000013,LCOG2185,19024561,0
MGYG000000013,LCOG2885,12118084,0
MGYG000000013,LCOG3047,0,0
MGYG000000013,LCOG3537,382233766,0
MGYG000000013,LCOG4372,65215982,0
MGYG000000016,LCOG0080,465370479,0
MGYG000000016,LCOG0423,20423718,0
MGYG000000016,LCOG0674,11141678,0
MGYG000000016,LCOG1013,11141678,0
MGYG000000016,LCOG1014,11141678,0
MGYG000000016,LCOG1144,11141678,0
MGYG000000016,LCOG1918,111167510,0
MGYG000000016,LCOG2086,916989093,0
MGYG000000018,75K31,51226531,22752131.51
MGYG000000018,LCOG0051,0,35928164.03
MGYG000000018,LCOG0577,30757773,110263389.8
MGYG000000018,LCOG1102,492118067,375609420.6
MGYG000000018,LCOG3959,13218375,10174050.37
MGYG000000022,6TGSI,139534588.3,127619550.2
MGYG000000022,6U857,11180220,0
MGYG000000022,738MH,111029153.6,48625756.1
MGYG000000022,775TI,8881083.5,6313242
MGYG000000022,LCOG0013,221230060,133837349
MGYG000000022,LCOG0029,2106970,0
MGYG000000022,LCOG0046,71278561,0
MGYG000000022,LCOG0047,71278561,0
MGYG000000022,LCOG0050,12501648,0
MGYG000000022,LCOG0056,0,680833
MGYG000000022,LCOG0057,31552179,37558720.03
MGYG000000022,LCOG0081,30449343.67,60517124.28
MGYG000000022,LCOG0088,295267644.7,148617103.8
MGYG000000022,LCOG0090,3399140.936,60630605
MGYG000000022,LCOG0094,84144642,15553521
MGYG000000022,LCOG0097,223457595.2,11261783.53
MGYG000000022,LCOG0098,33265841,42338131
MGYG000000022,LCOG0100,3073323,1248679
MGYG000000022,LCOG0102,42200727.33,60660069
MGYG000000022,LCOG0103,157638013,31696323
MGYG000000022,LCOG0126,42340725.51,23532720.14
MGYG000000022,LCOG0183,15070091.88,26360181.83
MGYG000000022,LCOG0191,31006689,19995178
MGYG000000022,LCOG0222,1132930,0
MGYG000000022,LCOG0238,40875619.99,13203301.13
MGYG000000022,LCOG0244,62238713.5,25136772
MGYG000000022,LCOG0246,3677943.364,20369513
MGYG000000022,LCOG0264,75849366.65,24530052
MGYG000000022,LCOG0280,552896810,0
MGYG000000022,LCOG0292,78724761.5,74744473
MGYG000000022,LCOG0297,9564680,5152470.667
MGYG000000022,LCOG0423,4947215,0
MGYG000000022,LCOG0441,118223945.8,40071387.65
MGYG000000022,LCOG0443,13094768.5,19204320
MGYG000000022,LCOG0448,20393790.77,90509115.33
MGYG000000022,LCOG0459,287869534.5,77492202.43
MGYG000000022,LCOG0461,14677647,18278835
MGYG000000022,LCOG0516,65930664,21522122
MGYG000000022,LCOG0521,850401,0
MGYG000000022,LCOG0522,108015097.1,77453280.35
MGYG000000022,LCOG0538,78476086,0
MGYG000000022,LCOG0539,180632198.5,142346411
MGYG000000022,LCOG0544,23197986,21764748
MGYG000000022,LCOG0568,445507857,439352033
MGYG000000022,LCOG0673,212622642.2,90811072.74
MGYG000000022,LCOG0674,104512979.1,15355820.73
MGYG000000022,LCOG0737,113121169.6,69141698.53
MGYG000000022,LCOG0761,180632198.5,142346411
MGYG000000022,LCOG0800,15812393,8538899.227
MGYG000000022,LCOG0813,31959956,14565501.11
MGYG000000022,LCOG0822,2418322,0
MGYG000000022,LCOG1013,104512979.1,15355820.73
MGYG000000022,LCOG1014,104512979.1,15355820.73
MGYG000000022,LCOG1080,866805929,513035727
MGYG000000022,LCOG1082,583073575.5,624730575.4
MGYG000000022,LCOG1109,241198184.7,393080882.9
MGYG000000022,LCOG1144,109786611.1,30024239.22
MGYG000000022,LCOG1185,4611975,10950305
MGYG000000022,LCOG1201,16902677,892963
MGYG000000022,LCOG1264,111029153.6,48625756.1
MGYG000000022,LCOG1362,0,0
MGYG000000022,LCOG1426,82033277,19597567.05
MGYG000000022,LCOG1454,20694339,21260724.77
MGYG000000022,LCOG1506,113121169.6,69141698.53
MGYG000000022,LCOG1592,17990711.75,24131490.58
MGYG000000022,LCOG1653,398923191.3,192845128.8
MGYG000000022,LCOG1866,274372896.6,147304147.5
MGYG000000022,LCOG1879,61474359,14779730.93
MGYG000000022,LCOG1883,9748377.5,344038
MGYG000000022,LCOG1904,349834857.4,185825098
MGYG000000022,LCOG1912,113121169.6,69141698.53
MGYG000000022,LCOG1966,57848376.27,70792363.16
MGYG000000022,LCOG2025,249721415.6,87751502.25
MGYG000000022,LCOG2038,427200526,0
MGYG000000022,LCOG2258,850401,0
MGYG000000022,LCOG2365,113121169.6,69141698.53
MGYG000000022,LCOG2759,4785668,0
MGYG000000022,LCOG2878,5273632,14668418.49
MGYG000000022,LCOG3250,525069667.5,448250060.1
MGYG000000022,LCOG3976,2106970,0
MGYG000000022,LCOG4109,65930664,21522122
MGYG000000022,LCOG4166,402168620.6,289901226.1
MGYG000000022,LCOG4716,10556104,6292643.5
MGYG000000022,LCOG4799,1028706364,158383991.5
MGYG000000022,LCOG5016,14191984,1739414
MGYG000000024,738MN,33921009,0
MGYG000000024,LCOG0050,73559546,3689941
MGYG000000024,LCOG0149,147274121,0
MGYG000000024,LCOG0215,382313317.8,315548363
MGYG000000024,LCOG0228,19026982,0
MGYG000000024,LCOG0256,194164813,1441381
MGYG000000024,LCOG0459,175071008,0
MGYG000000024,LCOG0464,29383333,0
MGYG000000024,LCOG0542,29383333,0
MGYG000000024,LCOG0696,109688430,0
MGYG000000024,LCOG1143,296593392,0
MGYG000000024,LCOG1418,33921009,0
MGYG000000024,LCOG1894,296593392,0
MGYG000000024,LCOG2183,31512599,0
MGYG000000024,LCOG2376,29211754,22383092
MGYG000000024,LCOG3158,28399296,0
MGYG000000024,LCOG3411,296593392,0
MGYG000000027,LCOG0112,120436222,0
MGYG000000028,LCOG0191,0,3077454
MGYG000000028,LCOG0516,0,139532
MGYG000000028,LCOG0517,0,139532
MGYG000000028,LCOG0579,426095771,414090268
MGYG000000028,LCOG2086,13771575,4355396
MGYG000000028,LCOG2188,465435116,52079632
MGYG000000028,LCOG3862,8548866,4159900
MGYG000000032,6VZCJ,0,37723165
MGYG000000032,6XFKZ,13453868,0
MGYG000000032,6XJRK,97637214,0
MGYG000000032,6Z6QY,5747835,0
MGYG000000032,75K31,14200814,0
MGYG000000032,775TI,59044334.33,19087501
MGYG000000032,LCOG0039,24197936,0
MGYG000000032,LCOG0050,37768500,0
MGYG000000032,LCOG0055,3120629,0
MGYG000000032,LCOG0056,71681721,73953853
MGYG000000032,LCOG0057,5741196.75,1225658
MGYG000000032,LCOG0059,28795611,32631412
MGYG000000032,LCOG0087,983588,0
MGYG000000032,LCOG0090,72044686.67,803474
MGYG000000032,LCOG0103,292552345,168562100
MGYG000000032,LCOG0104,0,0
MGYG000000032,LCOG0111,631557.5,280382
MGYG000000032,LCOG0124,232682411,0
MGYG000000032,LCOG0126,59445998,0
MGYG000000032,LCOG0148,767961,0
MGYG000000032,LCOG0149,16641605,0
MGYG000000032,LCOG0162,223669393,125714853
MGYG000000032,LCOG0166,2474271,0
MGYG000000032,LCOG0188,143928466,0
MGYG000000032,LCOG0191,37055135.05,87254883
MGYG000000032,LCOG0197,172231054,89298388
MGYG000000032,LCOG0198,0,12115097
MGYG000000032,LCOG0205,64621031,0
MGYG000000032,LCOG0210,76947372,0
MGYG000000032,LCOG0234,5123050,0
MGYG000000032,LCOG0297,3962769,0
MGYG000000032,LCOG0326,8494029,0
MGYG000000032,LCOG0363,50064534,5354068
MGYG000000032,LCOG0370,7344674,0
MGYG000000032,LCOG0425,4341905,0
MGYG000000032,LCOG0443,36251892,0
MGYG000000032,LCOG0445,10566347,7109025
MGYG000000032,LCOG0448,2942981,0
MGYG000000032,LCOG0459,1184150286,762348915.8
MGYG000000032,LCOG0462,213417,0
MGYG000000032,LCOG0465,12342914,6456788
MGYG000000032,LCOG0480,84782881.67,0
MGYG000000032,LCOG0492,98333771.67,9007155
MGYG000000032,LCOG0493,43714082,0
MGYG000000032,LCOG0495,65841647,0
MGYG000000032,LCOG0510,382068793.8,126437544
MGYG000000032,LCOG0524,106710587,0
MGYG000000032,LCOG0527,101353920,13472177
MGYG000000032,LCOG0532,71120861.83,269797914
MGYG000000032,LCOG0539,3650698,1397679
MGYG000000032,LCOG0542,0,0
MGYG000000032,LCOG0543,701332,0
MGYG000000032,LCOG0550,1388634667,508558383
MGYG000000032,LCOG0551,1388634667,508558383
MGYG000000032,LCOG0554,5449415,9648107
MGYG000000032,LCOG0579,77426517.45,13235799
MGYG000000032,LCOG0593,1059435.5,0
MGYG000000032,LCOG0629,23012032.43,0
MGYG000000032,LCOG0634,91985902.5,210554
MGYG000000032,LCOG0667,125203889,0
MGYG000000032,LCOG0673,17129050,0
MGYG000000032,LCOG0674,165838262.3,3723675
MGYG000000032,LCOG0715,55544832,0
MGYG000000032,LCOG0747,166391063,7012823
MGYG000000032,LCOG0761,3650698,1397679
MGYG000000032,LCOG0809,40671195,56837839
MGYG000000032,LCOG1012,79202534.83,20548518
MGYG000000032,LCOG1013,165838262.3,3723675
MGYG000000032,LCOG1014,165838262.3,3723675
MGYG000000032,LCOG1028,14311423,0
MGYG000000032,LCOG1080,45892026,0
MGYG000000032,LCOG1087,23771991,0
MGYG000000032,LCOG1088,168921801.3,92339419
MGYG000000032,LCOG1109,511421016,106569058
MGYG000000032,LCOG1143,165838262.3,3723675
MGYG000000032,LCOG1171,20269635,0
MGYG000000032,LCOG1319,14423829,14556932
MGYG000000032,LCOG1344,132740647,20519811
MGYG000000032,LCOG1454,96954342.83,20089054
MGYG000000032,LCOG1472,47944252,14346885
MGYG000000032,LCOG1473,9015624,0
MGYG000000032,LCOG1592,19532580.67,6024906
MGYG000000032,LCOG1609,106710587,0
MGYG000000032,LCOG1653,403116437,0
MGYG000000032,LCOG1762,293663695,0
MGYG000000032,LCOG1846,606272,0
MGYG000000032,LCOG1862,6154358,693214
MGYG000000032,LCOG1866,824573846.3,37114929
MGYG000000032,LCOG1894,6188019,8853136
