Taxon,Function,DC.M.48.1,DC.H.48.1,DC.M.48.2,NC.1D.48.1,DC.H.48.2,DC.L.48.1,NC.1D.48.2,DC.L.48.2,DC.L.48.3,DC.H.48.3,DC.M.48.3,NC.1D.48.3
MGYG000000001,LCOG0057,38643264,0,85903838,66451417,124170079,97479738,128279720,117859007,76712599,0,105300784,176241908
MGYG000000001,LCOG0080,0,0,0,0,0,4834840,0,0,0,0,8764543,9731412.107
MGYG000000001,LCOG0094,29434942,0,43398581,21664152,7151647,50529482,70949963,52316658,17689234,0,44081132,33012681
MGYG000000001,LCOG0493,775124329,0,678310629,846476421,0,554698593,1066091917,569972944,516353499,0,707871582,845198167
MGYG000000001,LCOG1151,21052348,0,31801408,15781528,957597,33692046,32052504,35777358,25318317,0,29958826,29335829
MGYG000000002,73K9R,0,0,62296927,95114768,0,106723455,208613288,105734805,199917997,0,82630906,229546792
MGYG000000002,LCOG0544,25264843,0,121564906,43439296,0,55722583,10716509,52285371,50045663,0,0,63783775
MGYG000000002,LCOG1136,217351343,0,176204799,127028262,0,195168140,149300320,139658836,119324026,0,241996921,147113962
MGYG000000002,LCOG3839,33077895,0,38468661,19065067,0,45513255,30725617,22500100,23016656,0,31759733,4690345
MGYG000000013,LCOG0674,4791318,0,3663398,2455596,0,3734236,2281615,3146789,3391153,0,1600696,3719914
MGYG000000013,LCOG0849,956709,0,1701895,381976,0,2544740.5,2202509,1424579,0,0,574012,2212002
MGYG000000013,LCOG1013,4791318,0,3663398,2455596,0,3734236,2281615,3146789,3391153,0,1600696,3719914
MGYG000000013,LCOG1014,4791318,0,3663398,2455596,0,3734236,2281615,3146789,3391153,0,1600696,3719914
MGYG000000013,LCOG1143,4791318,0,3663398,2455596,0,3734236,2281615,3146789,3391153,0,1600696,3719914
MGYG000000013,LCOG1262,71324687,779077,68116935.06,52348356,10499480,107351470,157647281,44401839,64873597.5,10068422,69847064,104010890
MGYG000000013,LCOG1884,19024561,0,19882177,9996152,0,31669399,14521352,12102370,13933766,0,15662247,13830570
