COG_number,taxon,LFQ intensity HiSF_14spcs_m04_2_147,LFQ intensity HiSF_14spcs_m06_2_148,LFQ intensity HiSF_14spcs_m07_2_149,LFQ intensity HiSF_14spcs_m10_2_150,LFQ intensity HiSF_14spcs_m13_2_151,LFQ intensity HiSF_15spcs_m03_1_132,LFQ intensity HiSF_15spcs_m07_1_133,LFQ intensity HiSF_15spcs_m09_1_134,LFQ intensity HiSF_15spcs_m14_1_136,LFQ intensity PEFi_14spcs_m00_0_127,LFQ intensity PEFi_14spcs_m01_1_128,LFQ intensity PEFi_14spcs_m02_1_129,LFQ intensity PEFi_14spcs_m04_1_130,LFQ intensity PEFi_14spcs_m13_1_131,LFQ intensity PEFi_15spcs_m05_2_142,LFQ intensity PEFi_15spcs_m08_2_143,LFQ intensity PEFi_15spcs_m09_2_144,LFQ intensity PEFi_15spcs_m12_2_145,LFQ intensity PEFi_15spcs_m14_2_146
2E252,Bacteroides thetaiotaomicron VPI-5482,0,1065900,606050,894360,968840,0,888240,0,0,1936800,1640100,2456600,1419000,1207800,885950,1371100,1181000,1053700,540180
2E252,Bacteroides caccae TSDC17.2,0,0,0,0,0,559560,699770,0,0,0,0,0,0,0,0,0,265280,0,290300
2E252,Parabacteroides distasonis TSDC17.2,293350,0,405760,331160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28H5J,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,1034500,0,1291500,0,0,933170,786230,888960,1204100,731530,1348200,643620,557790,2463900,700350
28H5J,Bacteroides vulgatus ATCC 8482,0,0,0,1989600,0,0,230250,0,0,2308600,2107800,2507500,2717300,3499400,2376900,1665300,1175600,0,1871300
28H5J,Bacteroides cellulosilyticus,0,0,0,1871900,0,0,0,0,2262800,784580,0,0,0,0,0,4290100,9247900,2835200,1716500
28H7K,Escherichia coli TSDC17.2,0,1964500,3131800,3069700,3499900,572350,0,0,0,0,1402300,864550,0,1330900,3314300,1660700,0,2501700,998250
28HAZ,Bacteroides vulgatus ATCC 8482,838460,1157700,1858100,0,2671800,2974800,4714400,0,2514400,1714300,5019300,4448400,3738800,3166600,7534900,3928600,9492800,4895200,5022700
28HBI,Bacteroides massiliensis TSDC17.2,0,0,4913500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28HE2,Parabacteroides distasonis TSDC17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28HFG,Bacteroides ovatus,3179700,6190500,3252100,3663500,3620500,4090900,0,0,0,5243000,3160600,2497700,2476000,2766100,3299000,3200900,2865400,3168900,1396600
28HG9,Bacteroides thetaiotaomicron VPI-5482,0,0,319640,0,0,0,0,0,0,0,596120,0,0,0,1291700,0,0,0,0
28HG9,Odoribacter splanchnicus TSDC17.2,0,0,748530,532870,585340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28HII,Bacteroides cellulosilyticus,0,197090,0,0,322950,2762300,2915800,0,6085500,0,0,0,222150,0,1043000,851190,930260,6094300,871940
28HM4,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,31367,22576,31157,28450,39358,0,0,0,0,0
28HM4,Bacteroides cellulosilyticus,0,0,0,0,0,0,1106700,0,0,0,0,0,0,0,528860,826860,0,594380,1032300
28HM4,Bacteroides caccae TSDC17.2,0,579840,314150,0,0,0,0,0,0,390700,197430,0,335370,290760,526150,486160,0,0,0
28HT5,Bacteroides thetaiotaomicron VPI-5482,869460,0,758180,0,0,0,0,0,0,776590,927270,770380,902740,0,0,0,779040,0,0
28HT5,Bacteroides cellulosilyticus,1264500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611100,893070,0,1055400
28HW2,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,1527500,434280,881030,945050,1360300,0,0,405900,0,0
28HW2,Bacteroides vulgatus ATCC 8482,1414600,0,1320200,1789700,795110,0,0,0,0,9794900,7315900,8936000,5746100,6653700,5450700,2530700,5125700,0,976490
28I1E,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,231920,252110,50023,0,0,0,0,101840,0,0
28I2Y,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,0,0,171020,0,0,0,0,0,0,0,0,0
28I2Y,Bacteroides ovatus,0,0,0,302710,0,0,0,0,0,7492500,1197400,3431100,2110400,1029800,1383700,1964900,955720,783260,1187800
28I3N,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,0,0,0,225180,0,0,0,0,0,0,0,0
