Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20180803_Patnode_INSeq2_Day19_HiSF_m03_1_132_12ug_MudPIT_QE3_01	HiSF_15spcs_m03_1_132	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		8180	6619	0	9407	3831	0	5576	814	757	0	57	8.65	19.76	NaN	1.02	489	248842	5431	2.18	500	9.21	16813	3119	2755	18.55	25.97	540	17.31	+	1.1824	1.5281	0.80049	1.0883	
20180803_Patnode_INSeq2_Day19_HiSF_m03_1_132_12ug_MudPIT_QE3_02	HiSF_15spcs_m03_1_132	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12547	41103	0	55967	26239	0	29728	8961	7615	0	1346	16.01	29.02	NaN	4.53	5223	648245	32568	5.02	5012	15.39	60244	18811	17506	31.22	35.02	5477	29.12	+	1.3872	1.778	0.99632	1.3229	
20180803_Patnode_INSeq2_Day19_HiSF_m03_1_132_12ug_MudPIT_QE3_03	HiSF_15spcs_m03_1_132	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13983	33139	0	44350	21928	0	22422	10069	8645	0	1424	22.7	39.42	NaN	6.35	5327	580140	25855	4.46	4228	16.35	51590	15192	14828	29.45	31.62	4729	31.13	+	1.2279	1.6118	0.83761	1.1414	
20180803_Patnode_INSeq2_Day19_HiSF_m03_1_132_12ug_MudPIT_QE3_04	HiSF_15spcs_m03_1_132	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13838	34029	0	47193	20865	0	26328	10550	8952	0	1598	22.36	42.9	NaN	6.07	5374	590439	26647	4.51	3735	14.02	51490	14590	14196	28.34	30.21	4205	28.82	+	1.2384	1.6253	0.83873	1.1485	
20180803_Patnode_INSeq2_Day19_HiSF_m03_1_132_12ug_MudPIT_QE3_05	HiSF_15spcs_m03_1_132	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14013	37442	0	53258	21626	0	31632	10372	8884	0	1488	19.48	41.08	NaN	4.7	4971	745205	29068	3.9	4341	14.93	62921	14444	14009	22.96	24.37	4703	32.56	+	1.2478	1.6297	0.83427	1.1335	
20180803_Patnode_INSeq2_Day19_HiSF_m07_1_133_12ug_MudPIT_QE3_01	HiSF_15spcs_m07_1_133	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7777	9285	0	12786	5784	0	7002	1779	1666	0	113	13.91	28.8	NaN	1.61	1097	250313	7858	3.14	716	9.11	21095	4687	4289	22.22	26.75	857	18.28	+	1.2654	1.6298	0.86405	1.1697	
20180803_Patnode_INSeq2_Day19_HiSF_m07_1_133_12ug_MudPIT_QE3_02	HiSF_15spcs_m07_1_133	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12199	43141	0	60281	26001	0	34280	9995	8496	0	1499	16.58	32.68	NaN	4.37	5033	686572	33372	4.86	5392	16.16	62310	17895	16734	28.72	30.98	5646	31.55	+	1.4072	1.7986	1.0618	1.4107	
20180803_Patnode_INSeq2_Day19_HiSF_m07_1_133_12ug_MudPIT_QE3_03	HiSF_15spcs_m07_1_133	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13491	36332	0	49942	22722	0	27220	11500	9709	0	1791	23.03	42.73	NaN	6.58	5439	647172	27994	4.33	4605	16.45	56681	15219	14717	26.85	28.69	5118	33.63	+	1.3034	1.693	0.94692	1.2829	
20180803_Patnode_INSeq2_Day19_HiSF_m07_1_133_12ug_MudPIT_QE3_04	HiSF_15spcs_m07_1_133	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13794	34502	0	48560	20444	0	28116	10943	9303	0	1640	22.54	45.5	NaN	5.83	5271	627264	26756	4.27	4013	15	53425	13740	13386	25.72	27.47	4407	32.07	+	1.2214	1.6146	0.84892	1.1688	
20180803_Patnode_INSeq2_Day19_HiSF_m07_1_133_12ug_MudPIT_QE3_05	HiSF_15spcs_m07_1_133	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14062	37118	0	52681	21555	0	31126	10945	9435	0	1510	20.78	43.77	NaN	4.85	4981	767731	28763	3.75	4393	15.27	63670	14232	13829	22.35	23.76	4769	33.51	+	1.2469	1.6285	0.83869	1.139	
