name,new_name
Bacteroides_caccae,Bacteroides caccae TSDC17.2
Bacteroides_cellulosilyticus,Bacteroides cellulosilyticus
Bacteroides_finegoldii,Bacteroides finegoldii TSDC17.2
Phocaeicola_massiliensis,Bacteroides massiliensis TSDC17.2
Bacteroides_ovatus,Bacteroides ovatus
Bacteroides_thetaiotaomicron_VPI-5482,Bacteroides thetaiotaomicron VPI-5482
Phocaeicola_vulgatus,Bacteroides vulgatus ATCC 8482
Collinsella_aerofaciens,Collinsella aerofaciens TSDC17.2
Escherichia_coli,Escherichia coli TSDC17.2
Odoribacter_splanchnicus,Odoribacter splanchnicus TSDC17.2
Parabacteroides_distasonis,Parabacteroides distasonis TSDC17.2
Monoglobus_pectinilyticus,Ruminococcaceae sp.
Ruminococcus_albus,Ruminococcus albus TSDC17.2
Subdoligranulum_variabile,Subdoligranulum variabile TSDC17.2
Bacteroides_thetaiotaomicron_Strain-7330,Bacteroides_thetaiotaomicron_Strain-7330
