,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0,983898192.549785,1200937854.68531,1388327371.01014,1773113704.236,994481379.017668,1567159259.94952,1514534104.07314,1673549511.76701,981660548.948684,880102903.474947,1077593695.21677,1064043598.84715,990680900.4704,932093185.715033,1185371935.50559,1020338983.22163,1398960267.98,1393823306.65412
LFQ.intensity.HiSF_14spcs_m06_2_148,983898192.549785,0,781367135.273075,769671518.32992,1236009747.94012,968226114.389883,1703619800.74143,1590804103.44965,1509411181.24095,1439209538.6533,1247677324.17993,1591905584.01224,1587128733.08192,1454289982.45292,1373924228.13663,1523062672.93381,1379370343.15657,1331388913.11756,1459704084.81742
LFQ.intensity.HiSF_14spcs_m07_2_149,1200937854.68531,781367135.273075,0,830353276.331094,1326106026.54041,1133596836.42629,1894884879.19641,1663201473.53349,1669208194.3325,1639589676.71667,1459463827.10126,1773093802.79753,1767858921.10181,1651569771.3941,1561453708.08225,1786553703.48734,1613368515.18682,1563128980.04939,1745624054.09572
LFQ.intensity.HiSF_14spcs_m10_2_150,1388327371.01014,769671518.32992,830353276.331094,0,1034325113.65132,1211484360.58235,2066092969.66045,1927659551.62761,1735498635.69078,1834828267.43273,1613487257.06349,1994838556.58696,1999001755.44651,1841703513.34418,1743098093.98139,1890572372.59445,1773689548.71226,1638784071.80074,1774430836.02632
LFQ.intensity.HiSF_14spcs_m13_2_151,1773113704.236,1236009747.94012,1326106026.54041,1034325113.65132,0,1462085827.18295,2272526265.7878,2249750223.13153,1861886023.92479,2260493529.85093,2029995336.55914,2430849914.08884,2423807792.10434,2265123668.73446,2153816606.3257,2207459211.57971,2068946026.06916,1468959265.04647,1777633339.12526
LFQ.intensity.HiSF_15spcs_m03_1_132,994481379.017668,968226114.389883,1133596836.42629,1211484360.58235,1462085827.18295,0,1341937460.11053,1404699362.92081,1279873628.40097,1297981010.99852,1132099417.56494,1412565022.55581,1449586024.31213,1290609129.76984,1021552294.7564,1317800083.91753,1201270324.40905,1120628585.66622,1285673262.85624
LFQ.intensity.HiSF_15spcs_m07_1_133,1567159259.94952,1703619800.74143,1894884879.19641,2066092969.66045,2272526265.7878,1341937460.11053,0,1017556775.63472,1107006152.91375,1417534770.33417,1410215415.92499,1423959240.9253,1514834448.94688,1404489879.93491,1301481813.13514,1297155629.62994,1386106148.77023,1683948907.29537,1434059426.96247
LFQ.intensity.HiSF_15spcs_m09_1_134,1514534104.07314,1590804103.44965,1663201473.53349,1927659551.62761,2249750223.13153,1404699362.92081,1017556775.63472,0,1211862654.61723,1572577641.92368,1564716689.42181,1614994406.91801,1663050342.08084,1602486897.59624,1553653441.67828,1653959370.49161,1606905841.91412,1781160139.92718,1748752600.01834
LFQ.intensity.HiSF_15spcs_m14_1_136,1673549511.76701,1509411181.24095,1669208194.3325,1735498635.69078,1861886023.92479,1279873628.40097,1107006152.91375,1211862654.61723,0,1739153373.0444,1638185907.84202,1839427905.61441,1878022837.53138,1764158362.08268,1657867251.85202,1658504724.49029,1636488608.35861,1482130929.78935,1466021474.46298
LFQ.intensity.PEFi_14spcs_m00_0_127,981660548.948684,1439209538.6533,1639589676.71667,1834828267.43273,2260493529.85093,1297981010.99852,1417534770.33417,1572577641.92368,1739153373.0444,0,465447914.510272,420618190.868477,420747213.641449,395251136.501862,651039164.236559,580147826.739828,527549960.173976,1557108290.93966,1141113963.65446
LFQ.intensity.PEFi_14spcs_m01_1_128,880102903.474947,1247677324.17993,1459463827.10126,1613487257.06349,2029995336.55914,1132099417.56494,1410215415.92499,1564716689.42181,1638185907.84202,465447914.510272,0,524357886.537714,520192778.015762,356753116.030808,628762275.086015,598645669.534097,457725996.447263,1404565850.75466,1044015337.96213
LFQ.intensity.PEFi_14spcs_m02_1_129,1077593695.21677,1591905584.01224,1773093802.79753,1994838556.58696,2430849914.08884,1412565022.55581,1423959240.9253,1614994406.91801,1839427905.61441,420618190.868477,524357886.537714,0,280330711.462889,306211248.630531,651280788.807322,657687740.615958,644262038.223986,1675987659.78698,1276490974.42826
