,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0,0.240911034892484,0.262457860962474,0.276951844685499,0.290138791694584,0.299501342942965,0.380699231020253,0.335578330354191,0.363588229624141,0.321013048332371,0.317773959420179,0.345810826813371,0.347739531714486,0.340377687737421,0.315252546720755,0.361201194885054,0.335176556658861,0.339481931676245,0.369724111103674
LFQ.intensity.HiSF_14spcs_m06_2_148,0.240911034892484,0,0.187255983055984,0.155720111604448,0.183330580058438,0.254424682406127,0.326329599732699,0.312626624431922,0.307712949822878,0.342817875181526,0.327708039269087,0.377523307656206,0.39026150785278,0.359421061870626,0.324383693595931,0.347562755159918,0.340923928109198,0.306821032194304,0.330101820894027
LFQ.intensity.HiSF_14spcs_m07_2_149,0.262457860962474,0.187255983055984,0,0.199326609168168,0.222763497513218,0.270695305039782,0.352573330053773,0.320256479462554,0.330427952829258,0.367605883910714,0.349341689324349,0.392179462735075,0.408801629940166,0.37971110342263,0.346100177738284,0.374801192402976,0.36617960874904,0.33422975579343,0.368183699869854
LFQ.intensity.HiSF_14spcs_m10_2_150,0.276951844685499,0.155720111604448,0.199326609168168,0,0.178642551524494,0.272768052290352,0.344892657704267,0.358794359741709,0.325822654066996,0.344703692182382,0.326556760193128,0.383855883191955,0.397800177371809,0.362794407048717,0.328436750918121,0.334206925985136,0.34836085843762,0.34429457943639,0.341570920864025
LFQ.intensity.HiSF_14spcs_m13_2_151,0.290138791694584,0.183330580058438,0.222763497513218,0.178642551524494,0,0.290941323934194,0.308509657697009,0.343211177860317,0.293413038077573,0.379832049008313,0.357351423398889,0.41305770051939,0.42491861509261,0.392610082067986,0.375753952275081,0.345026619610801,0.35506672122596,0.283620521956875,0.296220891336206
LFQ.intensity.HiSF_15spcs_m03_1_132,0.299501342942965,0.254424682406127,0.270695305039782,0.272768052290352,0.290941323934194,0,0.262565331263724,0.269712301113329,0.266611717706999,0.335388242095996,0.315670828056332,0.354505190753327,0.377654034121837,0.34358387224901,0.270171885430361,0.323782874352327,0.332718393802962,0.303254055761368,0.332256008479703
LFQ.intensity.HiSF_15spcs_m07_1_133,0.380699231020253,0.326329599732699,0.352573330053773,0.344892657704267,0.308509657697009,0.262565331263724,0,0.2202887600654,0.163653257102559,0.381956617247172,0.36188131222316,0.393345799273233,0.414446809734281,0.37982518308285,0.348916351741954,0.343591936225342,0.359169934812843,0.308063344889853,0.330825555207767
LFQ.intensity.HiSF_15spcs_m09_1_134,0.335578330354191,0.312626624431922,0.320256479462554,0.358794359741709,0.343211177860317,0.269712301113329,0.2202887600654,0,0.227714091764648,0.387595557808504,0.376732142367127,0.397206051582631,0.416456970760068,0.394814945911743,0.368879369978992,0.397794337559864,0.378257224687591,0.340263669671031,0.378388837984835
LFQ.intensity.HiSF_15spcs_m14_1_136,0.363588229624141,0.307712949822878,0.330427952829258,0.325822654066996,0.293413038077573,0.266611717706999,0.163653257102559,0.227714091764648,0,0.397881628694422,0.37081564616055,0.416643495843848,0.436405617641184,0.40282128560352,0.375524137365258,0.356901666349836,0.366228102059516,0.305144875778483,0.311016513860663
LFQ.intensity.PEFi_14spcs_m00_0_127,0.321013048332371,0.342817875181526,0.367605883910714,0.344703692182382,0.379832049008313,0.335388242095996,0.381956617247172,0.387595557808504,0.397881628694422,0,0.145380793033386,0.142461615677299,0.164012716318041,0.138967060846836,0.231644013342331,0.179718285192074,0.166261450624691,0.322677318593448,0.256557467078518
LFQ.intensity.PEFi_14spcs_m01_1_128,0.317773959420179,0.327708039269087,0.349341689324349,0.326556760193128,0.357351423398889,0.315670828056332,0.36188131222316,0.376732142367127,0.37081564616055,0.145380793033386,0,0.144023317467514,0.168153674120464,0.126184406318415,0.211028416089261,0.169950744578401,0.145761766045374,0.305651679113842,0.239402217969484
LFQ.intensity.PEFi_14spcs_m02_1_129,0.345810826813371,0.377523307656206,0.392179462735075,0.383855883191955,0.41305770051939,0.354505190753327,0.393345799273233,0.397206051582631,0.416643495843848,0.142461615677299,0.144023317467514,0,0.132191825982335,0.119347427494028,0.233522987284649,0.206194240175863,0.179308859568145,0.323140426620661,0.288573006361598
LFQ.intensity.PEFi_14spcs_m04_1_130,0.347739531714486,0.39026150785278,0.408801629940166,0.397800177371809,0.42491861509261,0.377654034121837,0.414446809734281,0.416456970760068,0.436405617641184,0.164012716318041,0.168153674120464,0.132191825982335,0,0.148833396529229,0.269271841707915,0.234074136867753,0.200660273787094,0.329840160229174,0.312073674144003
LFQ.intensity.PEFi_14spcs_m13_1_131,0.340377687737421,0.359421061870626,0.37971110342263,0.362794407048717,0.392610082067986,0.34358387224901,0.37982518308285,0.394814945911743,0.40282128560352,0.138967060846836,0.126184406318415,0.119347427494028,0.148833396529229,0,0.222139555953395,0.182228824831648,0.176614772704357,0.324460049048574,0.266937354620135
LFQ.intensity.PEFi_15spcs_m05_2_142,0.315252546720755,0.324383693595931,0.346100177738284,0.328436750918121,0.375753952275081,0.270171885430361,0.348916351741954,0.368879369978992,0.375524137365258,0.231644013342331,0.211028416089261,0.233522987284649,0.269271841707915,0.222139555953395,0,0.219421352822223,0.243148987422551,0.306203223562954,0.29991213924224
LFQ.intensity.PEFi_15spcs_m08_2_143,0.361201194885054,0.347562755159918,0.374801192402976,0.334206925985136,0.345026619610801,0.323782874352327,0.343591936225342,0.397794337559864,0.356901666349836,0.179718285192074,0.169950744578401,0.206194240175863,0.234074136867753,0.182228824831648,0.219421352822223,0,0.149076294330944,0.291769713569157,0.187421241486325
LFQ.intensity.PEFi_15spcs_m09_2_144,0.335176556658861,0.340923928109198,0.36617960874904,0.34836085843762,0.35506672122596,0.332718393802962,0.359169934812843,0.378257224687591,0.366228102059516,0.166261450624691,0.145761766045374,0.179308859568145,0.200660273787094,0.176614772704357,0.243148987422551,0.149076294330944,0,0.262787328296556,0.184759963730675
LFQ.intensity.PEFi_15spcs_m12_2_145,0.339481931676245,0.306821032194304,0.33422975579343,0.34429457943639,0.283620521956875,0.303254055761368,0.308063344889853,0.340263669671031,0.305144875778483,0.322677318593448,0.305651679113842,0.323140426620661,0.329840160229174,0.324460049048574,0.306203223562954,0.291769713569157,0.262787328296556,0,0.221896900350489
LFQ.intensity.PEFi_15spcs_m14_2_146,0.369724111103674,0.330101820894027,0.368183699869854,0.341570920864025,0.296220891336206,0.332256008479703,0.330825555207767,0.378388837984835,0.311016513860663,0.256557467078518,0.239402217969484,0.288573006361598,0.312073674144003,0.266937354620135,0.29991213924224,0.187421241486325,0.184759963730675,0.221896900350489,0
