,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0,0.141384888105013,0.188647808523944,0.168911489431693,0.171517109984552,0.244189899910751,0.266918789326537,0.277417484091632,0.276235102107761,0.285346940214843,0.257419326106269,0.279167769531385,0.26741673004858,0.264671885936056,0.27811484300595,0.304887481550481,0.292786540755545,0.314840333520411,0.318446350825938
LFQ.intensity.HiSF_14spcs_m06_2_148,0.141384888105013,0,0.14103803667208,0.112010229743238,0.117126743450245,0.2206936002183,0.251094830270224,0.265827157599045,0.253726123828997,0.298571790416036,0.260404285903698,0.292759227751195,0.28699073121651,0.278646786960185,0.287072887452686,0.312561832896713,0.300141713726296,0.311985297901473,0.315633674379294
LFQ.intensity.HiSF_14spcs_m07_2_149,0.188647808523944,0.14103803667208,0,0.145947017099434,0.15270384042873,0.221005563292177,0.254561629719746,0.258825814292375,0.252030912317592,0.327427811320126,0.283992968081526,0.317588360606238,0.313793912720329,0.307117371596576,0.314275018073514,0.338483681966392,0.324488133318218,0.331821615764869,0.342866851604654
LFQ.intensity.HiSF_14spcs_m10_2_150,0.168911489431693,0.112010229743238,0.145947017099434,0,0.118233499788939,0.229510280510559,0.25091080211676,0.281906162301426,0.257178618313233,0.300050173711047,0.257222778595616,0.292966773478841,0.287250535271571,0.275785678828528,0.291384478421433,0.30696687344673,0.299947396581951,0.323488311444499,0.31654513246955
LFQ.intensity.HiSF_14spcs_m13_2_151,0.171517109984552,0.117126743450245,0.15270384042873,0.118233499788939,0,0.234789609540489,0.244071393315323,0.279237125097864,0.248450229238491,0.321661049267164,0.279234715266332,0.317324078609219,0.311189399186428,0.299077578307538,0.315581423697385,0.321336461927527,0.314088353879625,0.310417007393234,0.313184991267056
LFQ.intensity.HiSF_15spcs_m03_1_132,0.244189899910751,0.2206936002183,0.221005563292177,0.229510280510559,0.234789609540489,0,0.162982829638611,0.166925197417202,0.159257115223694,0.305621185141987,0.28749512980256,0.313856885161045,0.31939168257656,0.308587997413615,0.23747828397435,0.28738457821292,0.288536804417281,0.263973666409823,0.283089056954564
LFQ.intensity.HiSF_15spcs_m07_1_133,0.266918789326537,0.251094830270224,0.254561629719746,0.25091080211676,0.244071393315323,0.162982829638611,0,0.149114074818674,0.112808892598099,0.305536477831555,0.290803557289912,0.310970367258698,0.31717516382536,0.303912635444516,0.25583030818467,0.277170181447558,0.28072271173151,0.272137620414587,0.274242818694534
LFQ.intensity.HiSF_15spcs_m09_1_134,0.277417484091632,0.265827157599045,0.258825814292375,0.281906162301426,0.279237125097864,0.166925197417202,0.149114074818674,0,0.138181478644704,0.32861042080605,0.318374727038647,0.339220201935739,0.343733365309541,0.338194710700999,0.257652702888616,0.31473835644281,0.306700120797961,0.251895124514162,0.295767395212719
LFQ.intensity.HiSF_15spcs_m14_1_136,0.276235102107761,0.253726123828997,0.252030912317592,0.257178618313233,0.248450229238491,0.159257115223694,0.112808892598099,0.138181478644704,0,0.317920508906749,0.298492309156652,0.328177487806182,0.332181982686662,0.322633005669997,0.262943757486953,0.287188026162683,0.289143138010044,0.266063236659618,0.265494910737451
LFQ.intensity.PEFi_14spcs_m00_0_127,0.285346940214843,0.298571790416036,0.327427811320126,0.300050173711047,0.321661049267164,0.305621185141987,0.305536477831555,0.32861042080605,0.317920508906749,0,0.119360187752783,0.09102824065621,0.105714277844263,0.102620140301674,0.17130106970107,0.134832944831092,0.131224673310827,0.256210385643421,0.177677840820488
