,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0.0,0.20415791265169814,0.28065688895134383,0.2343808711484341,0.23331348863468504,0.3644714625902413,0.36746513157240807,0.4110764356457929,0.378422019874742,0.39276309416061767,0.370166091018772,0.40313885833149693,0.39057484819184807,0.39050112559467137,0.37618579884561326,0.4009215192069529,0.4068613726468088,0.42678724045720917,0.40848969197386503
LFQ.intensity.HiSF_14spcs_m06_2_148,0.20415791265169814,0.0,0.22040358367817656,0.17546305748529828,0.17111538784889213,0.32536401076322324,0.34823952461127283,0.37802558665399255,0.35078037441799725,0.39814500045721074,0.3681211085669326,0.4098042171307616,0.4008715632373243,0.3945210554157462,0.3697828388595518,0.4035337565953493,0.40495456259658774,0.3974631721658841,0.39524711858100503
LFQ.intensity.HiSF_14spcs_m07_2_149,0.28065688895134383,0.22040358367817658,0.0,0.22106087138361105,0.22907451852024252,0.3133519304289855,0.34478708672468467,0.3507326462850712,0.33058170437306383,0.42827431290438944,0.4005708102420284,0.43776875675248195,0.43903080443587134,0.4330902305137209,0.36403197325195474,0.4442714667799305,0.43695047313425905,0.3755019745764902,0.419791705690421
LFQ.intensity.HiSF_14spcs_m10_2_150,0.2343808711484341,0.17546305748529828,0.22106087138361105,0.0,0.16833880218363187,0.3348584243208872,0.3390024750106841,0.38039534748399106,0.3450230549716334,0.37905939591483095,0.351393794981225,0.39173167881284143,0.3895766634655974,0.38184421646074534,0.346956870652687,0.39211949629535586,0.3922737295049881,0.38776870385653434,0.3756512682209802
LFQ.intensity.HiSF_14spcs_m13_2_151,0.23331348863468504,0.17111538784889213,0.22907451852024252,0.16833880218363187,0.0,0.33884270692336954,0.3425941377344843,0.3887187611487462,0.3457914879990823,0.4054390893468487,0.37591388490928906,0.4162107818684453,0.4113058109234617,0.4024621683322765,0.3789713293178889,0.4059255375888052,0.4065400674779163,0.3984331390513349,0.3898847835594226
LFQ.intensity.HiSF_15spcs_m03_1_132,0.3644714625902413,0.32536401076322324,0.3133519304289855,0.3348584243208872,0.33884270692336954,0.0,0.25298217353233504,0.24484362555023734,0.22082693437877132,0.45980739620313543,0.4455075134198989,0.4744480565325778,0.4789037631721683,0.47023763691740267,0.3528503595130183,0.4461765644046952,0.44212226744052247,0.3372280444730519,0.4123983012879131
LFQ.intensity.HiSF_15spcs_m07_1_133,0.36746513157240807,0.34823952461127283,0.34478708672468467,0.3390024750106841,0.3425941377344843,0.25298217353233504,0.0,0.24202439913307028,0.18094028844707533,0.4450311592071799,0.4349026214629871,0.46238917042677097,0.46520438144519993,0.4552390672177708,0.35790965641302186,0.42136260736133513,0.4239034318232082,0.37467151144692606,0.40128633195565566
LFQ.intensity.HiSF_15spcs_m09_1_134,0.4110764356457929,0.37802558665399255,0.3507326462850712,0.38039534748399106,0.3887187611487462,0.24484362555023734,0.24202439913307028,0.0,0.21053096113705913,0.49202556768404737,0.4747350190197506,0.5063175028561527,0.5092947458623209,0.5024352558037242,0.3903374889374164,0.4810613691788093,0.4696272813824392,0.3649299850414635,0.4486593749129385
LFQ.intensity.HiSF_15spcs_m14_1_136,0.378422019874742,0.35078037441799725,0.33058170437306383,0.3450230549716334,0.3457914879990823,0.22082693437877132,0.18094028844707533,0.21053096113705913,0.0,0.4538558838609861,0.4338181931029177,0.4702172000806136,0.4730161351590322,0.4638906130722671,0.359315115213793,0.43167322452455265,0.4285439722985422,0.34524234469172155,0.39963251847478476
LFQ.intensity.PEFi_14spcs_m00_0_127,0.39276309416061767,0.39814500045721074,0.42827431290438944,0.37905939591483095,0.4054390893468487,0.45980739620313543,0.4450311592071799,0.49202556768404737,0.4538558838609861,0.0,0.15881800191278628,0.13684623882600885,0.15021098710929914,0.14499150868745908,0.2860065898649414,0.22933917825114386,0.21632613769423611,0.39459670346001074,0.2759387198309606
LFQ.intensity.PEFi_14spcs_m01_1_128,0.370166091018772,0.3681211085669326,0.4005708102420284,0.351393794981225,0.37591388490928906,0.4455075134198989,0.4349026214629871,0.4747350190197506,0.4338181931029177,0.15881800191278628,0.0,0.14708113280532129,0.15134845936623156,0.1491875984460898,0.2803975509436984,0.21932933457090928,0.20404692741430536,0.37711556221980536,0.25389775487253313
LFQ.intensity.PEFi_14spcs_m02_1_129,0.40313885833149693,0.4098042171307616,0.43776875675248195,0.39173167881284143,0.4162107818684453,0.4744480565325778,0.46238917042677097,0.5063175028561527,0.4702172000806136,0.13684623882600885,0.14708113280532129,0.0,0.11924904719988559,0.1248745973009229,0.2908896024256351,0.2393828215568097,0.23014724326496813,0.40715638844214974,0.289964860301235
LFQ.intensity.PEFi_14spcs_m04_1_130,0.39057484819184807,0.4008715632373243,0.43903080443587134,0.3895766634655974,0.4113058109234617,0.4789037631721683,0.46520438144519993,0.5092947458623209,0.4730161351590322,0.15021098710929914,0.15134845936623156,0.11924904719988559,0.0,0.12226954492270817,0.30958409509606816,0.23730945187848296,0.2358037004224173,0.4106451599217579,0.29638235018560577
LFQ.intensity.PEFi_14spcs_m13_1_131,0.39050112559467137,0.3945210554157462,0.4330902305137209,0.38184421646074534,0.4024621683322765,0.4702376369174026,0.4552390672177708,0.5024352558037242,0.4638906130722671,0.14499150868745908,0.1491875984460898,0.1248745973009229,0.12226954492270817,0.0,0.29823530094866385,0.22949783133392254,0.22572963411432545,0.40527840074383853,0.2812883989879614
LFQ.intensity.PEFi_15spcs_m05_2_142,0.37618579884561326,0.3697828388595518,0.36403197325195474,0.346956870652687,0.3789713293178889,0.3528503595130183,0.35790965641302186,0.3903374889374164,0.359315115213793,0.2860065898649414,0.2803975509436984,0.29088960242563505,0.30958409509606816,0.29823530094866385,0.0,0.27828679510462684,0.275511497946597,0.2565435693541175,0.27366624173304915
LFQ.intensity.PEFi_15spcs_m08_2_143,0.4009215192069529,0.4035337565953493,0.4442714667799305,0.39211949629535586,0.4059255375888052,0.4461765644046952,0.42136260736133513,0.4810613691788093,0.43167322452455265,0.22933917825114386,0.21932933457090928,0.2393828215568097,0.23730945187848296,0.22949783133392254,0.27828679510462684,0.0,0.15091046523829435,0.35268631232935677,0.16894275626708224
LFQ.intensity.PEFi_15spcs_m09_2_144,0.4068613726468088,0.40495456259658774,0.43695047313425905,0.3922737295049881,0.4065400674779163,0.44212226744052247,0.4239034318232082,0.4696272813824392,0.4285439722985422,0.21632613769423611,0.20404692741430533,0.23014724326496813,0.2358037004224173,0.22572963411432545,0.275511497946597,0.15091046523829435,0.0,0.33637130073018023,0.16576072065284303
LFQ.intensity.PEFi_15spcs_m12_2_145,0.42678724045720917,0.3974631721658841,0.3755019745764902,0.38776870385653434,0.3984331390513349,0.3372280444730519,0.37467151144692606,0.3649299850414635,0.34524234469172155,0.39459670346001074,0.37711556221980536,0.40715638844214974,0.4106451599217579,0.40527840074383853,0.2565435693541175,0.35268631232935677,0.33637130073018023,0.0,0.29097588298106764
LFQ.intensity.PEFi_15spcs_m14_2_146,0.40848969197386503,0.39524711858100503,0.419791705690421,0.3756512682209802,0.3898847835594226,0.4123983012879131,0.40128633195565566,0.4486593749129385,0.39963251847478476,0.2759387198309606,0.25389775487253313,0.289964860301235,0.29638235018560577,0.2812883989879614,0.27366624173304915,0.16894275626708224,0.16576072065284303,0.29097588298106764,0.0
