,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0,0.129786210571264,0.190460700658329,0.149362304054708,0.141853269138449,0.337143148370773,0.346815525001282,0.365265562126286,0.351821056960621,0.335925740767895,0.309347127266694,0.331909003206127,0.314164526170477,0.310063643356133,0.355142630700446,0.401734007045081,0.404220263809864,0.435851986886669,0.433287280003399
LFQ.intensity.HiSF_14spcs_m06_2_148,0.129786210571264,0,0.149884368780461,0.113281956840891,0.113175289153662,0.317007711471051,0.338340981644113,0.35214321107028,0.342885232317787,0.344374240108824,0.306426470630093,0.335202764688856,0.320488383044998,0.320653942416041,0.356113795298225,0.412021321257385,0.408615619658105,0.442468266349851,0.437506205865136
LFQ.intensity.HiSF_14spcs_m07_2_149,0.190460700658329,0.149884368780461,0,0.148428500780276,0.142868294088609,0.32688916057935,0.342854868478003,0.34570939979665,0.339787919658629,0.379727029398267,0.335352306278741,0.367407225824956,0.356731189723108,0.364026207362384,0.393548586714206,0.443494718589753,0.43491597508806,0.448386560622633,0.460522982085446
LFQ.intensity.HiSF_14spcs_m10_2_150,0.149362304054708,0.113281956840891,0.148428500780276,0,0.107909002754303,0.329812415643973,0.334330655101586,0.356784473345875,0.340627220752827,0.341552087355634,0.297264926762702,0.32928430330818,0.314175592729179,0.316979921397753,0.363242792072075,0.40923275107046,0.403077023791557,0.442570732984398,0.435573698343811
LFQ.intensity.HiSF_14spcs_m13_2_151,0.141853269138449,0.113175289153662,0.142868294088609,0.107909002754303,0,0.331889269124043,0.3464913953233,0.362325393311562,0.355870745676413,0.345068431598737,0.300273365562931,0.333528398447182,0.319523422157228,0.3196478052254,0.362096376717274,0.415361555881334,0.411584662689314,0.447768503116511,0.442734052133099
LFQ.intensity.HiSF_15spcs_m03_1_132,0.337143148370773,0.317007711471051,0.32688916057935,0.329812415643973,0.331889269124043,0,0.173191491431663,0.186724373609128,0.173780384305924,0.448195336213891,0.435073451285254,0.452307579973202,0.44316463946025,0.43439961242827,0.311698437705737,0.360053851678252,0.357095945154782,0.356242904876,0.36276454023351
LFQ.intensity.HiSF_15spcs_m07_1_133,0.346815525001282,0.338340981644113,0.342854868478003,0.334330655101586,0.3464913953233,0.173191491431663,0,0.172306538801778,0.139223195146642,0.439061138224448,0.431808304386575,0.444700608321382,0.43781553922381,0.425272593597216,0.323308596087694,0.361130252079489,0.358769009951565,0.367737993662143,0.370970420504982
LFQ.intensity.HiSF_15spcs_m09_1_134,0.365265562126286,0.35214321107028,0.34570939979665,0.356784473345875,0.362325393311562,0.186724373609128,0.172306538801778,0,0.130497895862415,0.450645916109329,0.439984296137718,0.462107375510166,0.455146074170905,0.454821459276937,0.32239332993128,0.360495992341816,0.351629567036367,0.330452636290248,0.356066433177984
LFQ.intensity.HiSF_15spcs_m14_1_136,0.351821056960621,0.342885232317787,0.339787919658629,0.340627220752827,0.355870745676413,0.173780384305924,0.139223195146642,0.130497895862415,0,0.449252223903333,0.434081938073968,0.459050734726089,0.45012960931299,0.446182219912335,0.327078485566323,0.344947925314948,0.338840477786911,0.341439440616674,0.350178952330325
LFQ.intensity.PEFi_14spcs_m00_0_127,0.335925740767895,0.344374240108824,0.379727029398267,0.341552087355634,0.345068431598737,0.448195336213891,0.439061138224448,0.450645916109329,0.449252223903333,0,0.129354636355927,0.101021046575359,0.114325636262427,0.128250568689324,0.24713624193952,0.305397180002827,0.309476496072398,0.402118968924134,0.365187984900838
