,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0.0,0.20349604158223197,0.31103456710094063,0.24500175630274798,0.22209749314593497,0.4188652088425063,0.40956050439440855,0.45846033988180196,0.4377549063632526,0.44138465413721417,0.42141510409819666,0.4576307113598425,0.44511973261358967,0.44810834866641686,0.4220747237482851,0.4663003059656431,0.47394853615791077,0.5082860807917128,0.4785228716506616
LFQ.intensity.HiSF_14spcs_m06_2_148,0.20349604158223197,0.0,0.24622112264582874,0.19017499627356424,0.16981609363502922,0.3721728894432193,0.38889438557931083,0.4229078084244655,0.4140594140815451,0.4416105703775058,0.42254355109634606,0.45759191823112444,0.44487038072983,0.44879185070612165,0.39158887761509087,0.4656992396874503,0.46980835933959925,0.47218429882474566,0.4624298098585282
LFQ.intensity.HiSF_14spcs_m07_2_149,0.31103456710094063,0.24622112264582874,0.0,0.24915707448209734,0.23376545731527953,0.32545859864066334,0.35072394287714637,0.35740428132597635,0.36250325438200337,0.4817794098501052,0.46347683029202535,0.49714786145434847,0.49587358895950123,0.49315426267323625,0.4077914014641135,0.5027539204265972,0.5048026178497587,0.4262142591489065,0.49512705693761505
LFQ.intensity.HiSF_14spcs_m10_2_150,0.24500175630274798,0.19017499627356424,0.24915707448209734,0.0,0.17306207925915318,0.3783015396407997,0.36557257412905275,0.4129276474890274,0.3947660583817875,0.4225803140495342,0.3998250502824428,0.4389244674504788,0.4326924664580858,0.4314184918170482,0.3734831416752936,0.4502589854332547,0.4586937716007103,0.4617789949912655,0.4546234046658179
LFQ.intensity.HiSF_14spcs_m13_2_151,0.22209749314593497,0.16981609363502922,0.23376545731527953,0.17306207925915318,0.0,0.36366921386545287,0.3643551924733242,0.40549009400811054,0.3903863352771673,0.43686538127869823,0.4137041195514331,0.4540454419825446,0.4447445857486013,0.4416416461746616,0.37928595666686893,0.45991478648950684,0.4669927709701736,0.4581740468231081,0.4617261564407903
LFQ.intensity.HiSF_15spcs_m03_1_132,0.4188652088425063,0.3721728894432193,0.32545859864066334,0.3783015396407997,0.36366921386545287,0.0,0.2558443838176937,0.25118271907521333,0.236823327371851,0.519171314097976,0.5099320074050282,0.5378773411070864,0.5427440809143327,0.5356104624790904,0.39901944230408437,0.5024647311594022,0.4988324687511727,0.3919563907969346,0.470412725877282
LFQ.intensity.HiSF_15spcs_m07_1_133,0.40956050439440855,0.38889438557931083,0.35072394287714637,0.36557257412905275,0.3643551924733242,0.2558443838176937,0.0,0.2369666143986524,0.19160687019857667,0.48977437443436794,0.4903464798962655,0.5139792695743806,0.518467614356976,0.5112954217957524,0.3843215440981114,0.471700540723711,0.4724074454186535,0.40047254920736103,0.4503686979259629
LFQ.intensity.HiSF_15spcs_m09_1_134,0.45846033988180196,0.4229078084244655,0.35740428132597635,0.4129276474890274,0.40549009400811054,0.25118271907521333,0.2369666143986524,0.0,0.18981207566092184,0.5545892471245927,0.5421756006721173,0.5718232759765276,0.5762241244383196,0.5706845860456295,0.4345238741652428,0.5335300633815329,0.5266634013653035,0.405896344623469,0.5003603972231845
LFQ.intensity.HiSF_15spcs_m14_1_136,0.4377549063632526,0.4140594140815451,0.36250325438200337,0.3947660583817875,0.3903863352771673,0.236823327371851,0.19160687019857667,0.18981207566092184,0.0,0.5071201011655202,0.5023877211346859,0.5295474531780652,0.5367796544774255,0.5290122460063272,0.39771958892890863,0.48404168602664405,0.4819423666558836,0.3967925608037477,0.45478056332939
LFQ.intensity.PEFi_14spcs_m00_0_127,0.44138465413721417,0.4416105703775058,0.4817794098501052,0.4225803140495342,0.43686538127869823,0.519171314097976,0.48977437443436794,0.5545892471245927,0.5071201011655202,0.0,0.16662857605971537,0.146292932307409,0.16416091011404146,0.15437105581671257,0.31829829468856957,0.25788144372706956,0.24218004177874275,0.44975448475686053,0.31415177506015834
