,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0,0.304255819421585,0.341937011603126,0.315419501133787,0.29997720537953,0.393397524071527,0.410198042340087,0.421516345930907,0.405951840072694,0.412592592592593,0.394853236831524,0.403235591506572,0.395893223819302,0.404306701549608,0.397683397683398,0.428072896471501,0.423279391694287,0.409995852343426,0.429097249128245
LFQ.intensity.HiSF_14spcs_m06_2_148,0.304255819421585,0,0.31924882629108,0.255461025523109,0.268303774442929,0.388938848920863,0.412888888888889,0.423981900452489,0.404491883477874,0.411861015099145,0.40007860090391,0.401984126984127,0.399276963245632,0.401778656126482,0.400676078743289,0.428218292451036,0.424421937703038,0.409229518194755,0.423230974632844
LFQ.intensity.HiSF_14spcs_m07_2_149,0.341937011603126,0.31924882629108,0,0.312285518188058,0.306812985825332,0.40202159430278,0.421316328854475,0.421864050455501,0.411630558722919,0.436410350523032,0.4136,0.422682485421275,0.41729553334693,0.433373110580748,0.421402660217654,0.454039531759739,0.447642967542504,0.412218515429525,0.449980761831474
LFQ.intensity.HiSF_14spcs_m10_2_150,0.315419501133787,0.255461025523109,0.312285518188058,0,0.254290171606864,0.399176062445794,0.411955114372033,0.433027923211169,0.410664373253064,0.383559168925023,0.383172147001934,0.38991629355655,0.388385826771654,0.385692068429238,0.387978142076503,0.415577138587972,0.406703069101864,0.415993697065196,0.404363362798571
LFQ.intensity.HiSF_14spcs_m13_2_151,0.29997720537953,0.268303774442929,0.306812985825332,0.254290171606864,0,0.3848332970146,0.40466421939106,0.414945054945055,0.39615301491247,0.388799138395261,0.379130434782609,0.385528107372107,0.38140267927502,0.391933616364338,0.373749264273102,0.40778151889263,0.402145276627776,0.394150417827298,0.398909159300357
LFQ.intensity.HiSF_15spcs_m03_1_132,0.393397524071527,0.388938848920863,0.40202159430278,0.399176062445794,0.3848332970146,0,0.320096852300242,0.330782522833868,0.32548642805669,0.446994535519126,0.435553803705164,0.445236680530798,0.440562248995984,0.451581221763897,0.37466307277628,0.413616686343959,0.405828707375099,0.377474984032361,0.406206760229294
LFQ.intensity.HiSF_15spcs_m07_1_133,0.410198042340087,0.412888888888889,0.421316328854475,0.411955114372033,0.40466421939106,0.320096852300242,0,0.289413556740289,0.243933265925177,0.4625678119349,0.450058754406581,0.455801104972376,0.454690618762475,0.454777821470704,0.395606651611579,0.421135336868984,0.418425724995068,0.387391212056888,0.407803525450584
LFQ.intensity.HiSF_15spcs_m09_1_134,0.421516345930907,0.423981900452489,0.421864050455501,0.433027923211169,0.414945054945055,0.330782522833868,0.289413556740289,0,0.287989886219975,0.480379631319584,0.468935496636328,0.469387755102041,0.468421052631579,0.478011093502377,0.421041752790409,0.442551505546751,0.429601442018826,0.394765303915207,0.429284858170196
LFQ.intensity.HiSF_15spcs_m14_1_136,0.405951840072694,0.404491883477874,0.411630558722919,0.410664373253064,0.39615301491247,0.32548642805669,0.243933265925177,0.287989886219975,0,0.45492396813903,0.444814090019569,0.455688740420515,0.447484025559105,0.45436741088915,0.394763755369196,0.412782694198623,0.414105594956659,0.375558867362146,0.407261247040253
LFQ.intensity.PEFi_14spcs_m00_0_127,0.412592592592593,0.411861015099145,0.436410350523032,0.383559168925023,0.388799138395261,0.446994535519126,0.4625678119349,0.480379631319584,0.45492396813903,0,0.261617270398829,0.243001119820829,0.257377661561449,0.245682451253482,0.323288159771755,0.311228070175439,0.309871546718283,0.395913377575969,0.328935948620031
LFQ.intensity.PEFi_14spcs_m01_1_128,0.394853236831524,0.40007860090391,0.4136,0.383172147001934,0.379130434782609,0.435553803705164,0.450058754406581,0.468935496636328,0.444814090019569,0.261617270398829,0,0.246722288438617,0.261336515513126,0.267357715626834,0.317748091603053,0.314120499906734,0.276896617618957,0.379147812971342,0.328587278106509
LFQ.intensity.PEFi_14spcs_m02_1_129,0.403235591506572,0.401984126984127,0.422682485421275,0.38991629355655,0.385528107372107,0.445236680530798,0.455801104972376,0.469387755102041,0.455688740420515,0.243001119820829,0.246722288438617,0,0.236756316218419,0.232365981459089,0.31946851530907,0.31893313298272,0.30633535660091,0.393012275731822,0.338098774600817
LFQ.intensity.PEFi_14spcs_m04_1_130,0.395893223819302,0.399276963245632,0.41729553334693,0.388385826771654,0.38140267927502,0.440562248995984,0.454690618762475,0.468421052631579,0.447484025559105,0.257377661561449,0.261336515513126,0.236756316218419,0,0.236500203004466,0.340437788018433,0.331262939958592,0.320675906588191,0.38755980861244,0.341376730265619
LFQ.intensity.PEFi_14spcs_m13_1_131,0.404306701549608,0.401778656126482,0.433373110580748,0.385692068429238,0.391933616364338,0.451581221763897,0.454777821470704,0.478011093502377,0.45436741088915,0.245682451253482,0.267357715626834,0.232365981459089,0.236500203004466,0,0.337445435566521,0.323441582680105,0.32736095558044,0.405153099327857,0.342129544196346
