,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
DC.M.48.1,0,12679039191.7194,5069247397.3524,6031526502.32993,14993088855.9738,6294805557.73391,5413799231.62342,7271254748.96885,4266941103.75212,8465310882.96865,11929317154.8846,11898686858.8959,5062127289.13614,3666500179.11503,5651758352.16691,11898796839.8616,10698600186.1004,6110786987.3468,11119305203.7132,7513372133.50924,5833525068.28029,12296762666.3764,13453783957.3369,12073066243.0198,6813991319.7046,5360017298.0432,12684472470.8754,8897825594.34871,8356082917.28656,8201307286.43335,9608587060.75415,7163727875.49599,11468887116.0282,6890972314.86036,18374349008.0047,8184162378.61553,4871550144.43994,8296637070.60705,12392169237.6472,5230955358.95788,11914424485.7546,11989059096.5154,8151957368.56205,3423597194.17538,5468614906.63885,10933365672.2625,12214285275.3072,8634696022.76273
DC.H.48.1,12679039191.7194,0,15468235827.9295,14768925552.6091,21875375810.1591,15222164658.0003,14926687814.0844,17212566853.9016,15029542470.0964,16696485627.2903,20476992791.7972,13766721954.4838,14516619125.0158,13382340620.615,14240349370.3456,7292257575.43682,19737489051.1383,15362149505.113,19480012890.2546,15974324888.9552,15314079834.7764,14070570027.4338,22264395873.4772,13920695411.6766,16277065099.5145,12697203189.327,20757947611.9677,18004184639.4145,18005746964.7784,17859288038.9616,18483178496.1223,16547424554.5485,20047258015.0175,11692511830.5165,26352884848.5358,17618456159.2679,14486714995.7953,15545619616.1736,6409794055.66979,14493039504.4316,13819265141.3973,13885477621.7252,17730978858.2396,12852245544.0363,10678973058.8061,19143090429.5926,14014845592.7969,13589936705.7176
NZ.H.48.1,5069247397.3524,15468235827.9295,0,6101870111.44326,12576504237.7929,5952185663.84309,5201231562.6581,5014762262.42412,3572416631.07249,9089011176.53472,9134216650.11062,14388141524.4934,4647093120.7764,5209877878.12934,6191392630.29077,14753067618.3078,8098147416.73545,5775870455.58399,8792486322.43149,5885318947.46828,4929914573.19663,14738883988.0322,10434670076.8167,14527527587.9475,5214437011.90434,7450691357.96107,12059110653.476,7188261905.85408,5574202097.10516,5957828891.69662,7309211164.32989,5690804301.26216,9071607774.18931,7968240272.26263,15789983034.7926,6285283398.9203,5213242442.22294,9068497312.35073,15321289351.5066,5468202065.58755,14406794826.6943,14495224730.5557,6679477212.5823,4822183596.76301,7419353730.19417,8914932935.48235,14691348162.407,9132764334.72283
AZ.M.48.1,6031526502.32993,14768925552.6091,6101870111.44326,0,14617063682.1294,3418036444.85314,4397608551.1606,7200569915.00358,6243908178.0976,7201075627.5742,11186668056.6799,12849828099.2898,6239204770.43301,5766803848.79416,5886381683.22958,13748012731.1802,10179294675.1692,3838507128.03614,9574545394.20835,7064675881.05775,5555617926.23418,13176490464.8371,12681883033.6335,12982221134.3684,5339859583.70094,6556366350.68489,10437875638.0649,6245740891.26303,7252809915.2135,6060284817.68363,8387990131.25236,5640779915.19763,8749920522.04318,7746158801.6105,16824091123.7966,5467176322.38725,4511243204.25266,6955578940.91735,14604764874.0348,5442817006.77397,12835381717.0411,12891810788.8393,9362545145.89968,6667771261.9057,7047674149.7527,8804236500.63206,13076667533.6122,8699830359.29589
NZ.M.48.3,14993088855.9738,21875375810.1591,12576504237.7929,14617063682.1294,0,14841054781.1448,14826188962.5096,10827396850.5238,14458213608.9221,15909349707.5293,6708870633.35144,24735644005.7658,14015236592.7056,13373822767.663,15243963200.2823,22972783692.062,7966119626.7439,14548259873.3048,7911221129.19257,10258090846.4682,12416335166.2018,25027707591.9186,7858635094.91929,24874990681.194,13197783624.1128,17748405258.352,13323520437.1637,11181343633.4916,10419612621.2955,11339035242.1989,9947449083.88149,11815961196.238,10244896922.0454,14437347999.6306,10843572272.0435,11969290950.4187,14948263006.1329,13650283413.4795,22738875187.4842,15086188257.6498,24745129824.2953,24783388290.0392,11307854018.4291,13576515173.5841,15335132221.6725,9948479142.75995,24970750597.8813,13118943709.9089
AZ.L.48.1,6294805557.73391,15222164658.0003,5952185663.84309,3418036444.85314,14841054781.1448,0,3691623591.18558,6960449119.39795,5922374638.2816,6673262591.77338,11155380236.1507,12125497779.1632,5470152470.14889,6140683177.69199,5073014704.50278,13978173574.3189,10108533004.8305,2704631194.64487,10098960230.0645,6960146280.10174,5171683441.45314,12433298605.3519,12680775845.0285,12250854846.7932,4070424272.70427,6703598521.35052,10954220438.6078,6703546362.25248,6582997828.59954,6186111003.20366,8309624697.85925,6245689436.96241,9541935986.64896,8662740561.51015,17334890088.9587,5540711385.73996,4040208413.15489,7432732263.19327,15034531396.7702,4455450103.90092,12111519158.1772,12163663842.3168,9324642152.75419,6879287458.87241,7774157758.4343,9830020897.74806,12333469620.1499,9924137874.33213
AZ.M.48.2,5413799231.62342,14926687814.0844,5201231562.6581,4397608551.1606,14826188962.5096,3691623591.18558,0,7118752034.22771,4939560470.91628,7387437394.80373,11263262100.1775,12178382987.8674,4838460795.29658,5450793244.05727,5808309091.78007,13843809366.2906,10417775118.2173,4613885471.9092,10537488586.2188,7145703465.81682,5365059379.20323,12551078381.0508,12939795510.43,12326108655.0826,3745539560.44454,5357781063.01326,11945078081.8927,7999674422.63053,7024594092.76539,6687918106.86205,8968498309.37751,7396421661.73121,10179948850.1951,8181697403.64299,17822369108.6492,6706425392.4114,4723257081.64226,7805707585.85696,14830442438.2747,4275283837.51423,12190187723.5057,12236489656.3759,8566617489.23405,6278147109.39234,6514886704.3768,10733445139.9659,12453876266.3279,9420714213.05429
PR.L.48.1,7271254748.96885,17212566853.9016,5014762262.42412,7200569915.00358,10827396850.5238,6960449119.39795,7118752034.22771,0,6297546845.45226,9039414098.87331,6855464905.03583,16453054271.0467,6484872668.95965,6497551746.3344,6616877370.20064,16603754620.9784,5733900080.18867,6427653896.44454,7254158304.66746,4794246782.25091,5660426104.20281,16746244245.0374,7516979509.69012,16583427718.9616,5930407366.93964,9862457761.79778,10846184098.3754,5602362747.80834,4459803934.51845,5269545251.42772,5778932559.93843,4833660588.91933,8060527261.19842,9148431245.64852,13223595808.7462,5011270611.37981,6857453693.58328,9398411557.38358,16979994188.7866,7209649367.84376,16453417908.9961,16509772168.178,6774264600.84039,6734829560.09976,9608299970.84685,7387541907.53043,16682488520.2362,9413288969.2628
NZ.H.48.2,4266941103.75212,15029542470.0964,3572416631.07249,6243908178.0976,14458213608.9221,5922374638.2816,4939560470.91628,6297546845.45226,0,8706885256.91135,10916814542.5649,12847078907.8767,3816767076.45018,5463666128.12025,6008756180.8478,14062275395.1679,9881073718.74576,5867657985.41762,10137784879.9334,7152860043.71997,5520421824.90357,13208754314.3392,12362402778.1128,12992494456.9865,5820647216.98888,6265614707.72323,12795522322.6746,8445047669.90843,7250653735.10621,7311186463.74076,8680365825.79513,6835716878.49242,11006066436.759,8620096676.08941,17634499985.3828,7403291600.11427,5159628216.46051,9202859458.87679,14826339111.6225,5072247531.04054,12872970845.4825,12946113220.6452,7603748993.2051,4885919901.66135,7131702926.46358,10755909456.2053,13151835590.8865,10286648802.5596
CP.L.48.1,8465310882.96865,16696485627.2903,9089011176.53472,7201075627.5742,15909349707.5293,6673262591.77338,7387437394.80373,9039414098.87331,8706885256.91135,0,12386602572.8466,13299318164.6307,8387055546.57712,8136602046.25097,7578905389.55876,15344642858.7077,11199059465.0158,6628565577.7949,12232822753.6975,9018578222.96362,7765118996.5165,13514982724.0355,13923248619.1139,13367070234.2762,7549274181.97883,9142959861.46128,9744709996.27582,8935394799.81031,9011150942.62792,9281783200.33804,10886719370.1377,8760066334.78839,12051204826.1916,10611536696.5396,18702909218.25,8702399177.04677,6991225327.31942,6863570837.37908,16346313259.856,7150206298.53791,13237192116.6239,13269274083.644,11221286357.2818,9056496754.35345,9789171954.83487,11825735479.2232,13405431924.1838,11058755736.1555
