,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
DC.M.48.1,0,0.463541666666667,0.263627353815659,0.296333002973241,0.299004975124378,0.295581513458608,0.298838970217062,0.257113821138211,0.26078334159643,0.528107271789582,0.312843578210895,0.658523908523909,0.264310602289696,0.213640922768305,0.297655453618756,0.513744075829384,0.308350100603622,0.302290076335878,0.287759131293189,0.281075596144089,0.262140733399405,0.687730384412849,0.304524656837824,0.646443514644351,0.291854072963518,0.331024245423058,0.505840528186897,0.310590631364562,0.303535353535354,0.328773815339521,0.338757396449704,0.309319899244333,0.325831702544031,0.323950617283951,0.350930115635998,0.301113360323887,0.298721227621483,0.484879548949257,0.47448736289938,0.312843578210895,0.681508643268727,0.687106918238994,0.315128081198647,0.233466933867735,0.318697582634435,0.331505483549352,0.742004264392324,0.307389162561576
DC.H.48.1,0.463541666666667,0,0.512999071494893,0.515380974917179,0.524372929484146,0.538976566236251,0.528057553956835,0.530295913574448,0.522119815668203,0.646341463414634,0.550895381715363,0.611449451887942,0.520891364902507,0.493764434180139,0.543144774688399,0.29319686935581,0.540514775977121,0.565689981096408,0.526511627906977,0.550023485204321,0.538742023701003,0.655828220858896,0.560037968675842,0.619794809897405,0.543457943925234,0.507288629737609,0.625910509885536,0.55507662835249,0.537541846006695,0.550859266140269,0.557592853784673,0.550759013282732,0.529910504003768,0.486049926578561,0.558083252662149,0.562558795860771,0.54916067146283,0.621495327102804,0.280118694362018,0.558368495077356,0.649603900060938,0.638665843113033,0.544997715851987,0.473011363636364,0.490281827016521,0.538387715930902,0.696010132995567,0.499281953087602
NZ.H.48.1,0.263627353815659,0.512999071494893,0,0.290030211480363,0.25387797311272,0.299640841457158,0.288946015424165,0.269662921348315,0.227109974424552,0.536179073399271,0.259916492693111,0.683091286307054,0.207596253902185,0.289601554907677,0.288531395952257,0.554880896777207,0.273908523908524,0.299432111512648,0.238951695786228,0.28145865434001,0.279543197616683,0.70026525198939,0.263185654008439,0.667713239141811,0.296670030272452,0.32191435768262,0.523421588594705,0.310469314079422,0.256962690488702,0.295156407669021,0.287699433865157,0.292632663575477,0.263103802672148,0.342235410484669,0.306485355648536,0.3,0.293139293139293,0.504874294510005,0.525455394675385,0.300713557594292,0.696682464454976,0.705047318611987,0.284005979073244,0.232369355657027,0.335311572700297,0.284898806434873,0.755102040816326,0.32807881773399
AZ.M.48.1,0.296333002973241,0.515380974917179,0.290030211480363,0,0.309851965288412,0.247166756610901,0.263045793397231,0.282316442605998,0.292315419387243,0.49781181619256,0.304979253112033,0.667564655172414,0.311344327836082,0.289252105002476,0.293558606124604,0.549113560134164,0.316088980858769,0.292966684294024,0.293042153377349,0.285415577626764,0.292817679558011,0.692982456140351,0.299789251844046,0.651441000543774,0.272442588726514,0.304776739356179,0.469762419006479,0.29073482428115,0.305005213764338,0.333501006036217,0.342987804878049,0.311850311850312,0.299640841457158,0.283176593521421,0.345331246739697,0.29627687467226,0.312532773990561,0.4638619201726,0.543355325164939,0.303219106957425,0.679276315789474,0.695865070729053,0.342492639842983,0.308758040573973,0.28125,0.339825730394669,0.73625140291807,0.2684703433923
NZ.M.48.3,0.299004975124378,0.524372929484146,0.25387797311272,0.309851965288412,0,0.310308738880167,0.327488396080454,0.274294670846395,0.284627092846271,0.522751895991333,0.253225806451613,0.686295503211991,0.285714285714286,0.300346363186541,0.291866028708134,0.565092989985694,0.254584681769148,0.305702217529039,0.241977906365071,0.291775798847564,0.304064224786754,0.699119911991199,0.264069264069264,0.668290043290043,0.318344404701073,0.354789660415611,0.500266382525306,0.29084092126406,0.267952840300107,0.261741424802111,0.258861439312567,0.290629962943356,0.245473908413206,0.359939759036145,0.254152823920266,0.295514511873351,0.302016985138004,0.502382212811011,0.543385490753912,0.320062047569804,0.703904555314534,0.712506767731456,0.272119341563786,0.274619289340101,0.356212424849699,0.232711306256861,0.751816657350475,0.335513078470825
AZ.L.48.1,0.295581513458608,0.538976566236251,0.299640841457158,0.247166756610901,0.310308738880167,0,0.253706754530478,0.252427184466019,0.296714579055441,0.485503126776578,0.295345104333868,0.655986509274874,0.281021897810219,0.273425499231951,0.255813953488372,0.568513119533528,0.29957127545552,0.260917634051962,0.295738045738046,0.244785949506037,0.276883116883117,0.680045871559633,0.297238765565782,0.645197740112994,0.221487603305785,0.337859007832898,0.468558708959377,0.276584022038567,0.294402583423036,0.315432742440042,0.32331223628692,0.284940411700975,0.300736067297581,0.337311883757135,0.324295010845987,0.247371333702269,0.292868807838868,0.469286109573879,0.550578034682081,0.272234273318872,0.671045117075957,0.682413204325555,0.32520325203252,0.315151515151515,0.33952528379773,0.330512956107879,0.727272727272727,0.312889812889813
AZ.M.48.2,0.298838970217062,0.528057553956835,0.288946015424165,0.263045793397231,0.327488396080454,0.253706754530478,0,0.278306878306878,0.278036175710594,0.508077994428969,0.302387267904509,0.657174762702401,0.283566614826335,0.312063808574277,0.319702602230483,0.571428571428572,0.308386411889597,0.295577130528587,0.30694087403599,0.298728813559322,0.290918419702412,0.685584562996595,0.30343716433942,0.648739495798319,0.243770314192849,0.311146328578975,0.488524590163934,0.319786096256685,0.297860962566845,0.305483028720627,0.330020920502092,0.332459360251704,0.302301255230126,0.319582245430809,0.348936170212766,0.307078233102714,0.31640833778728,0.479212253829322,0.550119904076739,0.309561542525092,0.675904977375566,0.684180790960452,0.340852130325815,0.318273092369478,0.319292771710868,0.338920900995285,0.733178654292343,0.321318228630278
PR.L.48.1,0.257113821138211,0.530295913574448,0.269662921348315,0.282316442605998,0.274294670846395,0.252427184466019,0.278306878306878,0,0.268504338948443,0.511147362697118,0.253883235136583,0.676154672395274,0.264160659114315,0.253421186011151,0.236323851203501,0.557784145176695,0.263636363636364,0.245231607629428,0.269865841073271,0.202197802197802,0.252061855670103,0.697368421052632,0.242903930131004,0.668820678513732,0.252910052910053,0.364138623807132,0.490384615384615,0.242590559824369,0.262057877813505,0.300771208226221,0.302192066805846,0.24008690928843,0.294117647058824,0.32669729453803,0.296176628971459,0.236670293797606,0.268608414239482,0.491768454593733,0.536782154722354,0.284210526315789,0.700054141851651,0.707251082251082,0.305681246857717,0.288152610441767,0.34572864321608,0.301261829652997,0.748466257668712,0.311291963377416
NZ.H.48.2,0.26078334159643,0.522119815668203,0.227109974424552,0.292315419387243,0.284627092846271,0.296714579055441,0.278036175710594,0.268504338948443,0,0.526425954997384,0.274043433298862,0.674139728884254,0.204580947423217,0.273395394414503,0.311860940695297,0.560408921933085,0.284313725490196,0.316488004083716,0.248596222562532,0.299492385786802,0.273270283723245,0.699523052464229,0.300515463917526,0.663522012578616,0.296370967741935,0.317356205852674,0.502320783909232,0.324821246169561,0.256692913385827,0.287088607594937,0.291794871794872,0.318297009630005,0.289180990899899,0.350859950859951,0.325413223140496,0.298821117375705,0.32073544433095,0.491989664082687,0.535217794253939,0.302999491611591,0.695263157894737,0.702944269190326,0.277722277722278,0.25250501002004,0.343980343980344,0.310872894333844,0.750941366325982,0.341630063445583
CP.L.48.1,0.528107271789582,0.646341463414634,0.536179073399271,0.49781181619256,0.522751895991333,0.485503126776578,0.508077994428969,0.511147362697118,0.526425954997384,0,0.51219512195122,0.665017667844523,0.527397260273973,0.528205128205128,0.498014747589336,0.671016856987493,0.507821229050279,0.509582863585118,0.519722814498934,0.50471436494731,0.533854166666667,0.682284040995608,0.504244482173175,0.65531914893617,0.508752735229759,0.513858093126386,0.327137546468402,0.511337868480726,0.508389261744966,0.529633620689655,0.529928610653487,0.505888951205833,0.523526230394808,0.533912099837222,0.516905444126075,0.506165919282511,0.513544018058691,0.358230601885424,0.6636460554371,0.513019390581717,0.678493845039826,0.682412790697674,0.559051057246003,0.543679342240493,0.523110386079391,0.522537562604341,0.715935334872979,0.521551724137931
