Genome,OG,LFQ intensity HiSF_14spcs_m04_2_147,LFQ intensity HiSF_14spcs_m06_2_148,LFQ intensity HiSF_14spcs_m07_2_149,LFQ intensity HiSF_14spcs_m10_2_150,LFQ intensity HiSF_14spcs_m13_2_151,LFQ intensity HiSF_15spcs_m03_1_132,LFQ intensity HiSF_15spcs_m07_1_133,LFQ intensity HiSF_15spcs_m09_1_134,LFQ intensity HiSF_15spcs_m14_1_136,LFQ intensity PEFi_14spcs_m00_0_127,LFQ intensity PEFi_14spcs_m01_1_128,LFQ intensity PEFi_14spcs_m02_1_129,LFQ intensity PEFi_14spcs_m04_1_130,LFQ intensity PEFi_14spcs_m13_1_131,LFQ intensity PEFi_15spcs_m05_2_142,LFQ intensity PEFi_15spcs_m08_2_143,LFQ intensity PEFi_15spcs_m09_2_144,LFQ intensity PEFi_15spcs_m12_2_145,LFQ intensity PEFi_15spcs_m14_2_146
Bacteroides_caccae,6TATR,0,579840.0,314150,0,0.0,0,0.0,0.0,0,390700.0,197430,0.0,335370.0,290760.0,526150,486160,0.0,0.0,0
Bacteroides_caccae,6TJAB,0,0.0,0,0,0.0,0,0.0,0.0,0,68879.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
Bacteroides_caccae,6TU7D,6850500,3865800.0,2856200,2749400,2219700.0,9128500,8226000.0,9197300.0,11816000,562060.0,0,2762400.0,1213700.0,2334000.0,1895500,1258600,1071200.0,2022100.0,0
Bacteroides_caccae,6TWM3,0,0.0,0,0,0.0,357370,591460.0,0.0,614080,0.0,0,0.0,0.0,0.0,0,255320,0.0,121100.0,417760
Bacteroides_caccae,6UBTP,2860500,2056600.0,1129500,3344500,2700300.0,8863500,3872400.0,5102900.0,3288600,562550.0,0,0.0,0.0,0.0,0,0,853440.0,0.0,0
Bacteroides_caccae,6UGHK,7728600,4710600.0,2368500,4819300,5258100.0,3120200,8375300.0,7616700.0,8570200,2751100.0,1901500,1659900.0,2091100.0,1582000.0,1873700,5299500,3054800.0,3025500.0,3130900
Bacteroides_caccae,6UK7B,2068000,2861100.0,2462200,3450700,3111000.0,10347000,13639000.0,20273000.0,0,1719400.0,151810,1394100.0,1294700.0,1319300.0,1808600,1618400,1664300.0,3342600.0,2712200
Bacteroides_caccae,6URW2,1360500,1387800.0,0,3352800,2667300.0,452640,122800.0,0.0,0,9237100.0,791140,2512200.0,2960900.0,6772600.0,301250,12986000,5592100.0,787990.0,11449000
Bacteroides_caccae,6UUQM,1275600,5245200.0,3669800,3806800,2654200.0,7297200,0.0,0.0,0,0.0,83533,0.0,0.0,0.0,0,1230300,1380900.0,1714000.0,758750
Bacteroides_caccae,6VGDK,0,0.0,0,0,0.0,0,0.0,0.0,1554100,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
