Genome,OG,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
p_Actinobacteriota_c_Actinomycetia_o_Actinomycetales_f_Bifidobacteriaceae_g_Bifidobacterium_s_Bifidobacterium_animalis|bin.325,LCOG0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28639000,0,0,0,0,0,0,0,0,0,20040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34079000
p_Actinobacteriota_c_Actinomycetia_o_Actinomycetales_f_Bifidobacteriaceae_g_Bifidobacterium_s_Bifidobacterium_animalis|bin.325,LCOG0480,420820000,354230000,440030000,405970000,498870000,401860000,324530000,402580000,466360000,370300000,410080000,0,370920000,460200000,247330000,257540000,439560000,316280000,509780000,526680000,446770000,23162000,405790000,1210600,392500000,384870000,623870000,487770000,341990000,407340000,346840000,504100000,506110000,468200000,469030000,382090000,344430000,509030000,328860000,312930000,9726900,5652400,416060000,441430000,416670000,404340000,1397400,500900000
p_Actinobacteriota_c_Actinomycetia_o_Actinomycetales_f_Bifidobacteriaceae_g_Bifidobacterium_s_Bifidobacterium_animalis|bin.325,LCOG1109,23841000,129430000,19735000,18727000,48966000,0,9878200,18674000,0,0,19495000,0,14766000,27132000,16437000,85934000,33480000,17432000,30079000,20473000,0,0,40676000,0,10475000,7591800,14924000,22591000,21045000,0,0,18948000,25844000,49670000,32226000,13505000,20252000,23522000,105100000,8419800,0,688280,20129000,43409000,31283000,42518000,0,89377000
p_Actinobacteriota_c_Coriobacteriia_o_Coriobacteriales_f_Coriobacteriaceae_g_Collinsella_s_Collinsella_aerofaciens_G|bin.133,75K31,64692000,58952000,51382000,25874000,67881000,31661000,53340000,68118000,52385000,18316000,49429000,11227000,44969000,52272000,30171000,29698000,52782000,18864000,39419000,45205000,49610000,4653000,50007000,6879400,55914000,32631000,0,37722000,45128000,48057000,59908000,48801000,50585000,23887000,78561000,38967000,40899000,0,52691000,21147000,6140900,5773200,71793000,62604000,41406000,51825000,3563500,27602000
p_Actinobacteriota_c_Coriobacteriia_o_Coriobacteriales_f_Coriobacteriaceae_g_Collinsella_s_Collinsella_aerofaciens_G|bin.133,763T4,0,23177000,17525000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15018000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6680500,18745000,0,0,0,0
p_Actinobacteriota_c_Coriobacteriia_o_Coriobacteriales_f_Coriobacteriaceae_g_Collinsella_s_Collinsella_aerofaciens_G|bin.133,LCOG0013,166130000,78077000,99849000,141050000,151750000,137650000,138060000,113640000,106360000,152570000,175440000,5601300,141200000,115580000,105360000,69230000,189240000,84561000,125580000,158030000,172860000,2628100,212930000,3455900,149470000,64084000,190940000,115910000,104040000,110740000,119840000,112370000,129580000,95058000,157680000,111090000,129550000,120430000,88290000,83670000,5907300,3459500,119710000,166730000,91623000,189240000,2611400,122940000
p_Actinobacteriota_c_Coriobacteriia_o_Coriobacteriales_f_Coriobacteriaceae_g_Collinsella_s_Collinsella_aerofaciens_G|bin.133,LCOG0048,17939000,1752500,22584000,20815000,8208800,13405000,17138000,50473000,8231100,0,12197000,10870000,15484000,11974000,52428000,8831000,4708600,12483000,12140000,89450000,29288000,2763200,21688000,8567400,22402000,2642600,13032000,10036000,107040000,2825500,7938000,140310000,6572600,3987300,0,22014000,3405300,18553000,6041200,18789000,3968600,4060600,1501500,32333000,12675000,2401900,2718200,43095000
p_Actinobacteriota_c_Coriobacteriia_o_Coriobacteriales_f_Coriobacteriaceae_g_Collinsella_s_Collinsella_aerofaciens_G|bin.133,LCOG0049,61048000,27632000,167800000,50061000,225170000,40027000,46088000,163970000,127060000,0,178200000,2968800,65504000,129970000,95318000,27531000,179790000,70482000,106570000,153300000,84318000,1844900,147720000,3367100,43808000,30599000,0,127920000,119710000,86619000,139870000,157900000,101020000,89775000,220210000,106990000,118520000,0,41690000,59545000,0,4412400,121430000,118460000,56584000,176940000,0,77865000
p_Actinobacteriota_c_Coriobacteriia_o_Coriobacteriales_f_Coriobacteriaceae_g_Collinsella_s_Collinsella_aerofaciens_G|bin.133,LCOG0050,2483200000,1404100000,3207600000,1243500000,3839100000,1291400000,1329700000,2941100000,2368800000,40179000,2682000000,71113000,2149300000,2450200000,1692500000,699090000,2662700000,1414100000,2624600000,2368300000,1829000000,27594000,3241500000,151660000,1836500000,1052300000,167090000,1903800000,2138700000,2449400000,3064800000,2697900000,2366200000,1526200000,4593100000,1961300000,2278400000,51589000,1077500000,1458500000,75060000,132240000,3356300000,2489300000,1417800000,3061400000,4924800,1281000000
p_Actinobacteriota_c_Coriobacteriia_o_Coriobacteriales_f_Coriobacteriaceae_g_Collinsella_s_Collinsella_aerofaciens_G|bin.133,LCOG0051,53752000,13333000,29671000,0,30888000,0,0,23990000,32376000,0,26258000,2080200,22198000,37344000,26304000,12610000,25484000,0,0,36186000,17613000,2093400,29354000,3005900,30917000,15722000,0,17171000,26834000,26931000,27574000,28453000,25743000,0,28379000,22506000,25590000,0,18779000,0,1311000,2235000,33008000,27880000,37906000,25266000,1178500,25460000
