,LFQ intensity HiSF_14spcs_m04_2_147,LFQ intensity HiSF_14spcs_m06_2_148,LFQ intensity HiSF_14spcs_m07_2_149,LFQ intensity HiSF_14spcs_m10_2_150,LFQ intensity HiSF_14spcs_m13_2_151,LFQ intensity HiSF_15spcs_m03_1_132,LFQ intensity HiSF_15spcs_m07_1_133,LFQ intensity HiSF_15spcs_m09_1_134,LFQ intensity HiSF_15spcs_m14_1_136,LFQ intensity PEFi_14spcs_m00_0_127,LFQ intensity PEFi_14spcs_m01_1_128,LFQ intensity PEFi_14spcs_m02_1_129,LFQ intensity PEFi_14spcs_m04_1_130,LFQ intensity PEFi_14spcs_m13_1_131,LFQ intensity PEFi_15spcs_m05_2_142,LFQ intensity PEFi_15spcs_m08_2_143,LFQ intensity PEFi_15spcs_m09_2_144,LFQ intensity PEFi_15spcs_m12_2_145,LFQ intensity PEFi_15spcs_m14_2_146
LFQ intensity HiSF_14spcs_m04_2_147,0.0,0.2009496183918101,0.2771705361727095,0.22682805122851463,0.23493136720339475,0.3588121205456635,0.35980839375520446,0.4012144357833573,0.37652941773075793,0.3837719771821044,0.3603113226138527,0.3957089563517582,0.3766554670203298,0.38555410730072454,0.3736143637036655,0.4026795226031042,0.4045856682319573,0.4108646989998534,0.40783857005995733
LFQ intensity HiSF_14spcs_m06_2_148,0.2009496183918101,0.0,0.21518428053413202,0.16854706575057737,0.1696756636539821,0.3143583092353319,0.33045955624251083,0.3662599168786113,0.34139625769351406,0.3832469888431636,0.3559355562319468,0.3976093016499995,0.38376213408156196,0.3817626887762545,0.35618205525322494,0.391119067868759,0.3924012231965654,0.3800000431021512,0.3837831803269465
LFQ intensity HiSF_14spcs_m07_2_149,0.2771705361727095,0.21518428053413202,0.0,0.21896274264383409,0.22749811006838672,0.3001990912350606,0.3386462147835507,0.3418656733266983,0.3312974678918609,0.4129027027274854,0.3865025294493386,0.4247468457068281,0.4209205293982137,0.4169102751494609,0.3509926871138075,0.43125040019790245,0.42155653157904777,0.3510947816648209,0.4033530192843049
LFQ intensity HiSF_14spcs_m10_2_150,0.22682805122851463,0.16854706575057737,0.21896274264383409,0.0,0.16469559751223758,0.32119278896600506,0.32805305515014194,0.3673161319938267,0.3342277846952299,0.37161114211685237,0.3435871440220052,0.38728844515437943,0.37752143236508484,0.3728200422958239,0.3391013934670371,0.3817796983075899,0.3789483154469596,0.37496295040482225,0.36321123038433173
LFQ intensity HiSF_14spcs_m13_2_151,0.23493136720339475,0.1696756636539821,0.22749811006838672,0.16469559751223758,0.0,0.33283112463047093,0.32657631515288726,0.3815811128993732,0.33497260963887654,0.39642611418990603,0.36636724936339327,0.4096366216063352,0.3989708316020148,0.3931462036264001,0.3741619667355425,0.39421809543326236,0.3958830610914922,0.38600989565182886,0.37619764420209445
LFQ intensity HiSF_15spcs_m03_1_132,0.3588121205456635,0.3143583092353319,0.3001990912350606,0.32119278896600506,0.33283112463047093,0.0,0.24855417591687312,0.2341136394632719,0.2214862972210058,0.4409358754947454,0.4207550445940833,0.4502895445750526,0.45757470754566554,0.44792484244004377,0.3327360722033678,0.4329682141457406,0.4249917401187617,0.3244405003672914,0.39478635006806223
LFQ intensity HiSF_15spcs_m07_1_133,0.35980839375520446,0.33045955624251083,0.3386462147835507,0.32805305515014194,0.32657631515288726,0.24855417591687312,0.0,0.2336422052477037,0.1693302389065045,0.4265908960828567,0.4106329762038488,0.4385432280279889,0.4376400560649909,0.4304037507316607,0.3612238598869999,0.41508322347714155,0.416122962717838,0.36896864568852117,0.39441599892314305
LFQ intensity HiSF_15spcs_m09_1_134,0.4012144357833573,0.3662599168786113,0.3418656733266983,0.3673161319938267,0.3815811128993732,0.2341136394632719,0.2336422052477037,0.0,0.20998381146826967,0.47256324184750526,0.4516531191121493,0.48351529068682503,0.48707844976122416,0.48314543982522395,0.37462136341048535,0.4687833913875023,0.45602289164612647,0.3479015812259876,0.4327954348458537
LFQ intensity HiSF_15spcs_m14_1_136,0.37652941773075793,0.34139625769351406,0.3312974678918609,0.3342277846952299,0.33497260963887654,0.2214862972210058,0.1693302389065045,0.20998381146826967,0.0,0.4368368901715754,0.41328553199674334,0.45093507869763566,0.45225868552665166,0.44227311438411704,0.36161352689074283,0.4188423592756373,0.4127248746465569,0.3457565013924435,0.38176268949731695
LFQ intensity PEFi_14spcs_m00_0_127,0.3837719771821044,0.3832469888431636,0.4129027027274854,0.37161114211685237,0.39642611418990603,0.4409358754947454,0.4265908960828567,0.47256324184750526,0.4368368901715754,0.0,0.15387193253182005,0.12941312718996703,0.14963949746680352,0.1409155997411362,0.2723205288010518,0.21827130630651728,0.2039593168422307,0.37995081386734725,0.2717996270572301
LFQ intensity PEFi_14spcs_m01_1_128,0.3603113226138527,0.3559355562319468,0.3865025294493386,0.3435871440220052,0.36636724936339327,0.4207550445940833,0.4106329762038488,0.4516531191121493,0.41328553199674334,0.15387193253182005,0.0,0.1448968059508107,0.14833279655030246,0.14659256792555486,0.2677551754950378,0.21116486151606673,0.193740687053378,0.35729651478951685,0.2493332510869822
LFQ intensity PEFi_14spcs_m02_1_129,0.3957089563517582,0.3976093016499995,0.4247468457068281,0.38728844515437943,0.4096366216063352,0.4502895445750526,0.4385432280279889,0.48351529068682503,0.45093507869763566,0.12941312718996703,0.1448968059508107,0.0,0.12240634600079411,0.12609693191011304,0.27453236986036456,0.22771153532449367,0.21604503337908376,0.38624357118909775,0.28057383759035315
LFQ intensity PEFi_14spcs_m04_1_130,0.3766554670203298,0.38376213408156196,0.4209205293982137,0.37752143236508484,0.3989708316020148,0.45757470754566554,0.4376400560649909,0.48707844976122416,0.45225868552665166,0.14963949746680352,0.14833279655030246,0.12240634600079411,0.0,0.13247154064903507,0.30148925486550454,0.2304761922310832,0.22527664146084678,0.39120296822771006,0.2887828810804393
LFQ intensity PEFi_14spcs_m13_1_131,0.38555410730072454,0.3817626887762545,0.4169102751494609,0.3728200422958239,0.3931462036264001,0.44792484244004377,0.4304037507316607,0.48314543982522395,0.44227311438411704,0.1409155997411362,0.14659256792555486,0.12609693191011304,0.13247154064903507,0.0,0.2848175401255309,0.21804367757391818,0.2103141417820509,0.38842649953663166,0.26807261748804084
