,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
DC.M.48.1,0.0,0.6599978428321918,0.23578663376343237,0.3511741861904077,0.3161655584565242,0.3664293762173849,0.3352323574518779,0.29924994042939,0.24492462812067137,0.5010274199102484,0.3241141141733359,0.7330209551006217,0.26238063445793036,0.17346823723994864,0.35148672358576566,0.7143654128418079,0.31640072780107,0.3531049547492509,0.30546693235935307,0.32428585468834104,0.26937081113014877,0.7888576765605675,0.32582197757278775,0.7109025144102367,0.3424831417611686,0.32970408074298835,0.4410652289210934,0.351502305477865,0.32750046829790164,0.3282094477669807,0.3271978859402499,0.31173294349003133,0.3533451977243773,0.4268008132526163,0.37647186386490766,0.3592234329442077,0.28301221343688493,0.3786382458228121,0.6792374460009074,0.29452462158398274,0.7651077624486731,0.7846690577187446,0.2547998137843963,0.17993421081543115,0.357162707900205,0.347119033120224,0.7860157381273767,0.4039071618430958
DC.H.48.1,0.6599978428321918,0.0,0.6937131741067717,0.7376820070701054,0.7012918593078531,0.7568346240394446,0.7454137292710837,0.7347053193657901,0.7235603170258975,0.8313607619722768,0.7427943817076361,0.8504917393434557,0.7146921223955895,0.6692404284771359,0.730169302297363,0.30728086002769384,0.7282023201310532,0.7458405157369264,0.7266145057394326,0.7276801477160582,0.7237960492818979,0.8756312838092314,0.743804212098658,0.8381724583732322,0.7476355730698869,0.7002107290126939,0.8098043982822165,0.7437250292873748,0.7515163559391117,0.7488762724237362,0.7404439268173302,0.7284493396165672,0.7453152152051469,0.5857510520575628,0.7665733219307681,0.7590762358593929,0.7320423312164323,0.7592830301088123,0.2848135528231526,0.7417129555897003,0.8531771332858243,0.8743875479663789,0.7120074462528414,0.6472531864013634,0.615321124010267,0.721504259959453,0.9206489901358013,0.6162027735402396
NZ.H.48.1,0.23578663376343237,0.6937131741067717,0.0,0.31714659625027763,0.2351449285598276,0.3174094170887225,0.29294723223068414,0.2494224203276422,0.21812438772772957,0.4910207119152235,0.2515266868394882,0.7496578566925342,0.1988409722028932,0.22751525813747575,0.28037044241214965,0.7409555420936584,0.23469297630747982,0.27847382584256886,0.2461582499113424,0.269265982388467,0.2440647479764513,0.7966315666571794,0.26363789689172923,0.7184673473589092,0.3045274462094856,0.3331071082091836,0.43547596348127604,0.2798051816212473,0.24853886752011004,0.2541885353067011,0.2528117815600108,0.2571347508520394,0.273241814216546,0.41800387075415013,0.29442520650934223,0.2886086571710094,0.21630844717583395,0.40000365079838085,0.707970192452164,0.250005684720863,0.7794691803201467,0.7917776274583729,0.24613871688485375,0.24015112707703842,0.3490560810688501,0.2830645244276586,0.7905262965203701,0.38950892952741184
AZ.M.48.1,0.3511741861904077,0.7376820070701054,0.31714659625027763,0.0,0.3088243704175927,0.23598870709657774,0.25653657478770325,0.25669348487188987,0.3574637840828216,0.4548856628801854,0.29973874387370547,0.8006281157008135,0.3507625014547072,0.31806534520744484,0.2895205872624058,0.7784467644264449,0.2946779470281073,0.2573346441086462,0.2613877702594681,0.2531747832764341,0.3147195353653521,0.8421663325089895,0.27396229023370067,0.7786415863859198,0.2706206067774608,0.3703091682175403,0.41533878000125957,0.2492074762324134,0.29704658738625983,0.2937232816072701,0.29498182390997923,0.26992096550292344,0.21034377507815397,0.3627412534293763,0.2941132938361987,0.26319512221107694,0.3301569662857869,0.3691874340919926,0.7624439413694162,0.34013714148448393,0.8336072973342622,0.8475263850473435,0.3898619724837476,0.36843891999562,0.34637103882078285,0.2513111953648145,0.8551580090069236,0.3235530079815716
NZ.M.48.3,0.3161655584565242,0.7012918593078531,0.2351449285598276,0.3088243704175927,0.0,0.3012853965187646,0.34362672398989147,0.22070902328313616,0.3295977244615627,0.48277319136693514,0.18244122903083476,0.8065168025343002,0.2920343902197743,0.27582924106305506,0.24383956236727952,0.7437728212600788,0.16735237108857406,0.2629362568980744,0.20840552768883994,0.20762240919159328,0.27242795959767796,0.8364580657586612,0.17551477045176855,0.7761945776863974,0.3117728532749551,0.41643640535820026,0.4315353140004002,0.22610491172994174,0.22017375189754165,0.2532528062199256,0.2308971326224079,0.21028194492481547,0.24066763180538492,0.38349833886211643,0.2479344007259989,0.25147034431789744,0.28290597777304777,0.38262481552595395,0.7175082242731481,0.3061121581299161,0.8316952932794268,0.8362195966060975,0.3172559891932853,0.29781592802829576,0.3720251133309191,0.20392031067336075,0.8387753667577158,0.344016025373188
AZ.L.48.1,0.3664293762173849,0.7568346240394446,0.3174094170887225,0.23598870709657774,0.3012853965187646,0.0,0.23728913488458955,0.24387915051008704,0.32998379463657285,0.4361406324464295,0.26033704680545583,0.7943568396331769,0.3076774235041229,0.3295333193860572,0.2577814380423473,0.8017037495908804,0.26308833044621455,0.1920388926561508,0.2470097158479799,0.2346631143648516,0.2853386040402216,0.8355793960535622,0.2513072086148518,0.7709972212964563,0.18758539646951528,0.3895173213217003,0.3962114305830639,0.23816955698573236,0.22688229132106524,0.220194382304332,0.2504744462826808,0.253459863846136,0.23617903744689112,0.4392264621949106,0.30063294708325555,0.19144574647932422,0.3007827824427331,0.3845619085155558,0.7727891621575866,0.3074402174704193,0.8242112310566496,0.8404066142812351,0.37102307771008286,0.3892455805877267,0.4214583304652168,0.27675089929762875,0.8453373442176982,0.39074594125466805
AZ.M.48.2,0.3352323574518779,0.7454137292710837,0.29294723223068414,0.25653657478770325,0.34362672398989147,0.23728913488458955,0.0,0.29290919092452505,0.29930065088860464,0.45180865004693893,0.30823547833041764,0.7594760894459213,0.2752811629094949,0.3259892563071044,0.32921615577648344,0.7909629446505916,0.31862174147390726,0.28371825386478167,0.29298935558945444,0.3063520303192542,0.3072684197260373,0.8262820796388562,0.31162889381870057,0.7382070480448039,0.19893338420923926,0.29359868870834294,0.4180303984029052,0.3145862592457867,0.2883126514509246,0.24689121418896975,0.2841998077003558,0.3464012717882137,0.2827948275506847,0.45039062299464755,0.3432969477527982,0.292381654133239,0.31602732388303284,0.38498698745658444,0.7725557528281215,0.30708267393027666,0.7990069634829199,0.8225928971257177,0.3359714817911729,0.3702879787456359,0.37289490553260196,0.3472568662572167,0.82185265494386,0.4223956671775712
PR.L.48.1,0.29924994042939,0.7347053193657901,0.2494224203276422,0.25669348487188987,0.22070902328313616,0.24387915051008704,0.29290919092452505,0.0,0.2809943408400968,0.4519818588178528,0.18553329924319084,0.7943229279629442,0.26171543704414246,0.27280413764955197,0.1994780917811487,0.7723401427806534,0.19465109349916485,0.226118756014142,0.20144167003015778,0.15467003213730815,0.2485464276501255,0.8359188824183408,0.1672070499378698,0.7694149026760663,0.2556931784167682,0.39574958945954947,0.3957610801715495,0.20941005431275928,0.18820210733543594,0.2191441939015886,0.21265136850649474,0.19398573702514632,0.23839573021644614,0.42978022192699955,0.229504669802082,0.19502278500000142,0.2711084197523378,0.3878900917142211,0.7463464826185565,0.28815369214065295,0.8295313650396684,0.8428414168139535,0.3198278271011728,0.3200800612313816,0.409792072395869,0.2245294952068072,0.8402458612238114,0.38430391068062497
NZ.H.48.2,0.24492462812067137,0.7235603170258975,0.21812438772772957,0.3574637840828216,0.3295977244615627,0.32998379463657285,0.29930065088860464,0.2809943408400968,0.0,0.4640104958783622,0.3051425431098261,0.7418343477643087,0.1831426297245383,0.267549988985472,0.3393499155982018,0.7730351219705767,0.30367483794778216,0.34272836123557254,0.28707327009073874,0.317666957212857,0.2644889074307331,0.7938733495272817,0.33283999751168564,0.7072329281074196,0.30696913628821104,0.35001773312452866,0.4231498626266476,0.34314715980600763,0.2859680600169363,0.273351952189299,0.29614898776749476,0.3294060812020015,0.3439651318915317,0.4952792121612688,0.36481842060818137,0.31737654264628773,0.2875014018256172,0.40992321532020104,0.7399062106286338,0.2864391148478805,0.7747277515574306,0.7900592727377191,0.25783827344004456,0.27676837620777883,0.4312820104951832,0.3531656760234129,0.7911965561694616,0.46527695367891825
CP.L.48.1,0.5010274199102484,0.8313607619722768,0.4910207119152235,0.4548856628801854,0.48277319136693514,0.4361406324464295,0.45180865004693893,0.4519818588178528,0.4640104958783622,0.0,0.46090717635422346,0.8523674731640377,0.48695312733659935,0.48602943659022924,0.43410063269297483,0.871923206819021,0.45238039312925377,0.4535439952903043,0.4579452899784693,0.4465267866429627,0.470135401937691,0.8909532991847426,0.45878866568204557,0.8199705405507909,0.456827569343518,0.5385389259378977,0.30812853554539826,0.45215050639440685,0.4557226649577302,0.44988228479579184,0.4699869580157636,0.44855902817505083,0.4632259240067069,0.5673098233113605,0.5105852271018919,0.44983962777777126,0.4774144450074922,0.37283580558402396,0.8561056786898114,0.4787473124442066,0.8826519882569631,0.9003736046234886,0.5181019169936804,0.5261850485417733,0.5557605409782987,0.46496249624352753,0.9114087213045078,0.5375792844948268
