taxon,COG_number,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
s_Acutalibacter_sp900548545,COG0060,9125100,0,0,0,0,0,8843500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3903300,0,0,0,11995000,8501400,0,14962000,0,0,0,0,0,0,0,0,0,14128000,0,0,8562800,0,0
s_Acutalibacter_sp900548545,COG0087,7181800,0,0,0,0,0,0,0,7636700,0,0,0,6830800,0,0,0,0,0,7256000,0,0,0,0,0,0,0,0,0,0,0,0,0,7222900,6109000,9133700,0,3794500,0,0,0,0,0,8329300,5545700,0,0,0,0
s_Acutalibacter_sp900548545,COG0136,92559000,0,48870000,28761000,0,0,0,0,118420000,36552000,0,0,0,49278000,0,6144300,0,0,0,0,0,3333600,0,0,0,26441000,50649000,0,0,0,27602000,0,22234000,19343000,0,0,0,65335000,10026000,0,3980100,0,21831000,43201000,21544000,0,0,26453000
s_Acutalibacter_sp900548545,COG0162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s_Acutalibacter_sp900548545,COG0172,0,15913000,11665000,0,0,0,0,0,13160000,0,0,5565400,11513000,0,0,23326000,0,0,13757000,0,0,0,0,4946400,0,9911500,0,0,0,0,0,0,11323000,0,0,0,0,0,13329000,0,5282700,4682000,13607000,0,0,0,3665900,0
s_Acutalibacter_sp900548545,COG0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6357700,0,0,0,0,4302000,16000000,0,0,0,0,0,0,0,0,7378400,6258000,7858900,12716000,9411100,0,8602000,3644400,0,0,7035300,0,0,0,0,4795100,11470000,0,6253700
s_Acutalibacter_sp900548545,COG0334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1851900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603800,2318600,0,0,0,0,1866200,0
s_Acutalibacter_sp900548545,COG0370,0,0,2832500,18502000,0,0,2899200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s_Acutalibacter_sp900548545,COG0624,0,0,22217000,0,0,21919000,0,0,0,0,0,0,0,0,0,0,0,25060000,0,0,21331000,0,0,0,0,18461000,0,0,0,25803000,0,0,0,31769000,0,0,0,0,0,21004000,0,0,40218000,0,20073000,0,0,0
s_Acutalibacter_sp900548545,COG1012,10158000,11970000,16017000,4736700,7413900,0,0,1393700,18564000,0,0,0,1791400,19855000,2408200,8728200,5761200,2097200,0,0,5435900,0,8093700,0,0,7817300,0,5475700,0,0,0,7156300,0,12696000,0,0,3906700,13416000,0,3466500,0,0,0,18565000,0,0,0,18513000
