name,new_name
p_Firmicutes_A_c_Clostridia_o_Oscillospirales_f_Acutalibacteraceae_g_Acutalibacter_s_Acutalibacter_sp900548545|bin.10,s_Acutalibacter_sp900548545
p_Firmicutes_A_c_Clostridia_o_Oscillospirales_f_Butyricicoccaceae_g_Agathobaculum_s_Agathobaculum_butyriciproducens|bin.60,s_Agathobaculum_butyriciproducens
p_Firmicutes_A_c_Clostridia_o_Oscillospirales_f_Butyricicoccaceae_g_Agathobaculum_s_Agathobaculum_sp900291975|bin.152,s_Agathobaculum_sp900291975
p_Firmicutes_A_c_Clostridia_o_Peptostreptococcales_f_Anaerovoracaceae_g_Alangreenwoodia_s_Alangreenwoodia_sp905206455|bin.249,s_Alangreenwoodia_sp905206455
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Rikenellaceae_g_Alistipes_A_s_Alistipes_A_pullistercoris|bin.113,s_Alistipes_A_pullistercoris
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Rikenellaceae_g_Alistipes_s_Alistipes_finegoldii|bin.592,s_Alistipes_finegoldii
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Rikenellaceae_g_Alistipes_s_Alistipes_onderdonkii|bin.515,s_Alistipes_onderdonkii
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Rikenellaceae_g_Alistipes_s_Alistipes_putredinis|bin.388,s_Alistipes_putredinis
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Rikenellaceae_g_Alistipes_s_Alistipes_shahii|bin.329,s_Alistipes_shahii
p_Firmicutes_A_c_Clostridia_o_Lachnospirales_f_Lachnospiraceae_g_Anaerobutyricum_s_Anaerobutyricum_hallii|bin.385,s_Anaerobutyricum_hallii
p_Firmicutes_A_c_Clostridia_o_Lachnospirales_f_Lachnospiraceae_g_Anaerostipes_s_Anaerostipes_hadrus|bin.306,s_Anaerostipes_hadrus
p_Firmicutes_A_c_Clostridia_o_Lachnospirales_f_Anaerotignaceae_g_Anaerotignum_s_Anaerotignum_sp001304995|bin.50,s_Anaerotignum_sp001304995
p_Firmicutes_A_c_Clostridia_o_Lachnospirales_f_Lachnospiraceae_g_Bacteroides_F_s_Bacteroides_F_pectinophilus|bin.684,s_Bacteroides_F_pectinophilus
p_Firmicutes_A_c_Clostridia_o_Lachnospirales_f_Lachnospiraceae_g_Bariatricus_s_Bariatricus_comes|bin.121,s_Bariatricus_comes
p_Actinobacteriota_c_Actinomycetia_o_Actinomycetales_f_Bifidobacteriaceae_g_Bifidobacterium_s_Bifidobacterium_animalis|bin.325,s_Bifidobacterium_animalis
p_Desulfobacterota_I_c_Desulfovibrionia_o_Desulfovibrionales_f_Desulfovibrionaceae_g_Bilophila_s_Bilophila_wadsworthia|bin.204,s_Bilophila_wadsworthia
p_Firmicutes_A_c_Clostridia_o_Lachnospirales_f_Lachnospiraceae_g_Blautia_A_s_Blautia_A_caecimuris|bin.114,s_Blautia_A_caecimuris
p_Firmicutes_A_c_Clostridia_o_Lachnospirales_f_Lachnospiraceae_g_Blautia_A_s_Blautia_A_faecis|bin.66,s_Blautia_A_faecis
