,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
DC.M.48.1,0,0.543429357465801,0.199708073922242,0.247343121549952,0.360619277019778,0.273611073631992,0.238387209823325,0.235574613963187,0.185374270900419,0.402309585139313,0.314456067455602,0.862905235807466,0.207492101888276,0.144601480754172,0.24296582453828,0.598333645287675,0.307384249437296,0.259896445661465,0.28870016787279,0.244141690018888,0.222472612719387,0.932467198306295,0.339374382109193,0.905424998057101,0.269243739765261,0.296437450179708,0.405778281164295,0.280261568121353,0.276183126526284,0.273218960644784,0.295124612418322,0.243190494246566,0.30810917697209,0.275362216418673,0.397257934091189,0.273841879328646,0.226565055878104,0.318551166591778,0.547726558033143,0.253694120404487,0.878692148847938,0.885103865145525,0.266952545727924,0.142116380155038,0.255730931027905,0.308923007797222,0.925267302076991,0.29356414467986
DC.H.48.1,0.543429357465801,0,0.605117855678939,0.606703475878866,0.622627886659016,0.639118715938942,0.613712167706037,0.634682098989576,0.616669029707659,0.718859189447535,0.65037029347839,0.847762536939987,0.599101310138809,0.549462206276908,0.618136292235492,0.283163454692962,0.638152159099992,0.654519008508006,0.621157955053654,0.616411400930177,0.617443471830477,0.92654324128377,0.658711595219196,0.896420394345577,0.632258543367302,0.581226760050083,0.696301481485335,0.647018227590099,0.646804149128311,0.646720656998819,0.640560417390902,0.623425239161111,0.63011263306383,0.475500358749425,0.674195371231924,0.657354300461838,0.625233210547646,0.644460963612789,0.213283431820021,0.636558072247617,0.869589355428267,0.879035866173936,0.616542364675138,0.531532652055859,0.491928991596332,0.626627386605948,0.919007839925554,0.503623948904278
NZ.H.48.1,0.199708073922242,0.605117855678939,0,0.227621361029766,0.288164785626596,0.247839050828211,0.220572792401427,0.177303726269356,0.142740135088552,0.394062059662359,0.233374471555118,0.882464175063269,0.171622357296058,0.192633990716894,0.235962990787633,0.660599756233612,0.231923559622538,0.22860829419982,0.219716294645406,0.187215236209288,0.189794519102702,0.941962543043323,0.262721862610459,0.918485441237956,0.217420377280199,0.335009077383233,0.395747567949124,0.226859631359711,0.191959047050584,0.19992667190975,0.197374244789431,0.19132988665674,0.238944405140139,0.287258099297321,0.328953401774543,0.211392475726959,0.210353644977464,0.343408334441136,0.615777739595611,0.237865902035105,0.894860799204157,0.904605689228245,0.210068517129243,0.176919367623532,0.303482428613495,0.23496335160354,0.935895701257767,0.280293274164663
AZ.M.48.1,0.247343121549952,0.606703475878866,0.227621361029766,0,0.374592010054997,0.162586780399954,0.163053079423413,0.230416747251974,0.243567974250172,0.328759340603864,0.309564696950782,0.86955458644067,0.240271565018029,0.228850260852588,0.219961020279127,0.635891253356191,0.305063876130245,0.190498677777714,0.283347126215485,0.226070045203446,0.212957363694834,0.933507670812355,0.336912994726943,0.906387217046355,0.192198360048524,0.279026650643562,0.357489226419291,0.233286931716193,0.2475006813141,0.236089587204264,0.264840582370712,0.221100040975177,0.269902464412108,0.247468986641658,0.398143452496211,0.215478680520757,0.230297105496647,0.286922153323975,0.610210027699206,0.228196176431368,0.878466997220767,0.884255286639766,0.299557019268213,0.261643481246189,0.261019269660829,0.290584484736638,0.923009085182896,0.240005970679504
NZ.M.48.3,0.360619277019778,0.622627886659016,0.288164785626596,0.374592010054997,0,0.39043986342908,0.386786281164432,0.239668779586368,0.33984943329563,0.442670179052262,0.159257468481995,0.92391207442228,0.365705500195509,0.312222654635763,0.390117313410964,0.694859685349951,0.150766525118925,0.387747811417683,0.184335991930234,0.251704046402457,0.31652382479559,0.963313331371261,0.139195856571772,0.94813599992389,0.327770107927215,0.511779805020921,0.33016353131449,0.250972187698353,0.23669281843771,0.258403990028771,0.233835101962401,0.261252052893673,0.196146076603554,0.373188671614756,0.162152858414783,0.272104713458019,0.383534907534066,0.387396250903825,0.65089311381201,0.402562178919333,0.933029870947051,0.934811092903535,0.253488331995594,0.314468240556563,0.415340739696329,0.171007779908289,0.958044951759537,0.31195360498378
AZ.L.48.1,0.273611073631992,0.639118715938942,0.247839050828211,0.162586780399954,0.39043986342908,0,0.168206034098388,0.23675583368711,0.247598511311798,0.311962244851293,0.319520117501662,0.85554321833692,0.223783741151554,0.243305742139987,0.191232447678271,0.661373526960242,0.312032617419551,0.13977846200335,0.300082322959021,0.231189367692201,0.209093557987606,0.92695837718056,0.348052116325994,0.898865629619468,0.158783543278066,0.313736624559372,0.379789827354821,0.238393979026896,0.239028935600161,0.237315966459434,0.265780514948558,0.238232144683746,0.29743866494352,0.299879145420513,0.41259706098366,0.206752126779757,0.203012373719868,0.323348992107896,0.640054828251647,0.188818983379304,0.87021621349533,0.875522497869642,0.310562388577145,0.281567996684996,0.329919050989278,0.319840437030352,0.916603529074474,0.291968293143611
AZ.M.48.2,0.238387209823325,0.613712167706037,0.220572792401427,0.163053079423413,0.386786281164432,0.168206034098388,0,0.239517657001463,0.209390929292188,0.346992048122271,0.317975130517789,0.858821992639648,0.191513190435976,0.231907316097151,0.239297410979829,0.658069452241291,0.315332384916205,0.201390846854655,0.302266197193513,0.249089707775541,0.215395254042243,0.928726740592825,0.347069050478592,0.900965300787372,0.161674252285162,0.256743896787926,0.391040448777994,0.272517259105382,0.25051114089536,0.23570656798395,0.269714817485947,0.268799978655702,0.288993877256377,0.26969988873314,0.415698833757957,0.236617175297402,0.229852326339318,0.320457894871389,0.627517428527414,0.215846043696629,0.875098959493831,0.877462687491846,0.290311284850865,0.253045596201345,0.266670495956721,0.328608144471888,0.919933972425592,0.27492286507454
PR.L.48.1,0.235574613963187,0.634682098989576,0.177303726269356,0.230416747251974,0.239668779586368,0.23675583368711,0.239517657001463,0,0.212293639687412,0.351258885189375,0.165139062331982,0.893565368942502,0.234173884491427,0.204950550905743,0.229147698880403,0.679539217508077,0.16614523034303,0.230490274346588,0.169947178008593,0.111136432837423,0.192686127207993,0.946597953814938,0.184695803842975,0.927396695102958,0.186460820777132,0.387095457891815,0.33403995331884,0.145493602148546,0.138734503068349,0.162071396019601,0.155097306703501,0.1323799476017,0.197482750191843,0.305232691995077,0.263710699481364,0.134150216245918,0.23823627731974,0.326371637620923,0.636353617900497,0.265658239455717,0.906191161706748,0.910610202735919,0.210567497720861,0.230727309512498,0.347032493442078,0.180288862429495,0.939804813534852,0.269245136012725
NZ.H.48.2,0.185374270900419,0.616669029707659,0.142740135088552,0.243567974250172,0.33984943329563,0.247598511311798,0.209390929292188,0.212293639687412,0,0.39369516650654,0.277516731244918,0.871605395439618,0.157712452874503,0.195075766868979,0.249686551955952,0.672497665565131,0.275340186699248,0.242707503854233,0.254865167551146,0.233713373650644,0.194676952036412,0.936002419116193,0.316752657200687,0.911045718949128,0.233427861236143,0.31414734430653,0.409985764154619,0.26484674568747,0.227073529811249,0.223327564341504,0.241310275409875,0.235658450935782,0.285147386897406,0.308456688196055,0.376451262623508,0.232422999047288,0.227895214018784,0.350908263394403,0.628024138060315,0.234404897851406,0.887719117683585,0.895012133881602,0.235804076677612,0.175307274460007,0.305022870091658,0.281873139052102,0.929881551905358,0.304378077196147
CP.L.48.1,0.402309585139313,0.718859189447535,0.394062059662359,0.328759340603864,0.442670179052262,0.311962244851293,0.346992048122271,0.351258885189375,0.39369516650654,0,0.38753632009702,0.873942216597399,0.390652137255039,0.372171363724693,0.33826889834463,0.735807734088601,0.380730926804822,0.32164970916153,0.387207152496251,0.338170288935717,0.355026552411799,0.936439715970715,0.409058345131171,0.909075265920941,0.325159526175901,0.441862154265203,0.293095298546246,0.326557749827796,0.347466188557034,0.351924283988888,0.376718823571232,0.343226855925752,0.380271010225036,0.411513972991007,0.471219604887078,0.337708719398031,0.348484080403951,0.246646345540282,0.718481175136003,0.346688623859818,0.882673338807007,0.883792549886737,0.420456743189587,0.405353243420437,0.440041218058342,0.386639550124981,0.923291059194113,0.399363257471056
