,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
DC.M.48.1,0.0,0.6674004389056869,0.24719051729462765,0.3633233619265108,0.3367312624864032,0.3885332774695051,0.34856926912565234,0.31562500889048856,0.2531135161049103,0.5172921754019857,0.3489069565832738,0.7069318898010531,0.28640967700871567,0.18284610947808436,0.35464337407248,0.725601577418771,0.33518085356267235,0.3670970499963982,0.3351922046505169,0.334149792726775,0.29584922315159856,0.8172772584593139,0.3609581480060987,0.6905227575233183,0.36387345930743725,0.34022016914675535,0.474436342538098,0.36769990762977794,0.3466323872212036,0.35550291774807913,0.3663504038154604,0.3152403346523975,0.373593649093526,0.3663219261112043,0.40878984579468125,0.37996891494574553,0.30030029483715925,0.41808936360897936,0.698118876250759,0.3080882862421916,0.7256343762231683,0.7672187598826908,0.2700062620110738,0.19288460326850387,0.3501782627433255,0.36987731251597494,0.8041261310274235,0.37497402119032214
DC.H.48.1,0.6674004389056869,0.0,0.7251223069193822,0.7523586988726221,0.7299729128899064,0.7699630765210046,0.7668308586612113,0.7537809837845993,0.7377451257183936,0.8337411293060785,0.7616221969184239,0.7864212409462226,0.7276712993064356,0.6786551393457311,0.7475840816157399,0.32865124133333723,0.7564758082091851,0.7755381884315293,0.7447419133316416,0.7338117641883,0.7153482480805543,0.8540292297184284,0.7793538284171524,0.779835468153624,0.7609693985404835,0.7118988381552301,0.8067046622456283,0.772355034794763,0.7646925218203608,0.7761560757241078,0.7658207706016157,0.7447716608739601,0.7697324479402388,0.6191408888764539,0.8049684500753129,0.7775487908501757,0.7524734361866997,0.7650679532887751,0.31205820138316953,0.7519611876407852,0.780899801861366,0.8101871731436616,0.7230193002441824,0.6546034249076825,0.6376610724979872,0.75963977938311,0.8773398193067746,0.6634598856642638
NZ.H.48.1,0.24719051729462765,0.7251223069193822,0.0,0.3295873529761003,0.2524127408020258,0.34630625525374,0.30519676395781664,0.26341555231695174,0.2214169672768369,0.5146771167028807,0.26471204817842514,0.7349359503597424,0.20848329529514997,0.2538114471696294,0.28738683805996995,0.7778519862625155,0.2503075072198043,0.2932648993981132,0.2675471484237895,0.2751433143470694,0.2620881564062603,0.8174314758443542,0.2852705654354568,0.7022596711704638,0.3248742547248237,0.3618881420820826,0.4775076385280248,0.29920802634731775,0.26910806309792545,0.27837877162068947,0.28262674091913803,0.26310494411311197,0.2924859927295804,0.3756330924160872,0.33196128229193556,0.30288334655257104,0.24354518591993807,0.43475415764189934,0.748142109125184,0.28153898299709285,0.7568666044325231,0.7835279424846961,0.2614060300440275,0.25611530965781804,0.3839891027828901,0.293076149772166,0.8094822220647192,0.38195253662051215
AZ.M.48.1,0.3633233619265108,0.7523586988726221,0.3295873529761003,0.0,0.34345692401839023,0.25022005793554747,0.25660575558887555,0.28639759747110366,0.3570718928053975,0.45875825110283064,0.33281407871561247,0.7691620918157738,0.3631782204185814,0.3462582003431498,0.3144801200781159,0.7946456519144034,0.33018953202490464,0.2824184782170738,0.27882841225599725,0.2879199603623588,0.33913501176179717,0.8588729006662196,0.313935760650432,0.7407461524857508,0.28354781243877253,0.39540207647078973,0.4458595623914869,0.28494338962821897,0.3223503765348381,0.29752199952233704,0.316354081232798,0.29927130744280545,0.22525990771285165,0.38016903349464093,0.31255830043534477,0.3023459488403535,0.3489165251591588,0.4163205407980138,0.7847605137653101,0.3496817662741781,0.789829704828779,0.822610608660633,0.3972284104436345,0.3925963801983788,0.3966940603394088,0.2780985272464799,0.8491155360060536,0.3339583538340517
NZ.M.48.3,0.3367312624864032,0.7299729128899064,0.2524127408020258,0.34345692401839023,0.0,0.3269257493300944,0.36357575780398405,0.23651038803905106,0.3319545079077795,0.5064933111204586,0.19594335475210586,0.7899004734248232,0.28954392015204455,0.30508621773918215,0.2738724810242784,0.7907430774518913,0.19600195901421227,0.28269820000048745,0.22735517385124343,0.20801133891348023,0.26826278209157917,0.8586421242555917,0.2088980758810866,0.7652322471307165,0.32778354464860837,0.45255663133525015,0.4763540673165096,0.2680565816972572,0.23877943749785233,0.2784932278700013,0.25601623335434487,0.2439245261127209,0.2691266973865161,0.39705406291525996,0.2702510325106684,0.27639106583361706,0.3166796384149974,0.42496753508832064,0.7723193661317909,0.3323523486467209,0.8052138907576578,0.8180449111101327,0.326604508141368,0.32681709027805506,0.41452144124017953,0.2369150310352693,0.851226697410469,0.3785536936106383
AZ.L.48.1,0.3885332774695051,0.7699630765210046,0.34630625525374,0.25022005793554747,0.3269257493300944,0.0,0.2652448678471874,0.2779647994840709,0.3500995585892799,0.4514184155961405,0.2888685859922755,0.7817548848586745,0.33493992023460595,0.35720287757812175,0.2834141229390244,0.8090825646994303,0.2865450782346689,0.20684471513508945,0.2690081116279873,0.26833177100841976,0.31302061231339956,0.853459250631633,0.27394978125970093,0.7539415584569621,0.2022829309271001,0.44258655184470136,0.44204292583785876,0.2525235469669626,0.2619358885911741,0.24261394290579852,0.27461712003236216,0.2746572451909442,0.25331970723447705,0.44652356156068296,0.31874821109889734,0.22986763346236416,0.33398542663967007,0.4312710738850509,0.7951548038572412,0.3340079631905075,0.8025269918679424,0.8176631084520083,0.3891348673800611,0.4173684262415631,0.47712504154462443,0.2866652018576813,0.8489562783448895,0.41566518591272084
AZ.M.48.2,0.34856926912565234,0.7668308586612113,0.30519676395781664,0.25660575558887555,0.36357575780398405,0.2652448678471874,0.0,0.3282639681500367,0.31872168467598494,0.4800875105642334,0.33784448988443155,0.7474318881814924,0.2971734367422032,0.3428719190146044,0.35734747923741683,0.8074426904015206,0.3408075177768614,0.3039748199760543,0.3162521664273645,0.33233024495810004,0.33835386699395903,0.8506534070903954,0.34393430803931596,0.7136357161671807,0.21244384226707608,0.3343228331556756,0.4660451772639578,0.33907593448019757,0.31970425893252363,0.28445270173697157,0.3175644712239687,0.3622164385099776,0.2996135233394239,0.4133958352944416,0.3825571201480682,0.33210009036295113,0.33734497890136667,0.4271751177331916,0.795067470517917,0.32991713903249625,0.7682806688863791,0.8075005097235671,0.357432906596813,0.3799752385289584,0.39491249784751714,0.36604017754123436,0.8252238788695979,0.39212904050098923
PR.L.48.1,0.31562500889048856,0.7537809837845995,0.2634155523169517,0.28639759747110366,0.23651038803905106,0.2779647994840709,0.3282639681500367,0.0,0.2882271504218864,0.47795996859951595,0.2067486545616483,0.7847039729878575,0.2848947234966331,0.2973944306284248,0.21218039013900675,0.7983671913643275,0.21026792612828488,0.2455577249474672,0.2255920391809533,0.1784020267466994,0.26756040525147046,0.8616038414355983,0.17851533199394023,0.7610740677633435,0.2853632692356832,0.4499852978833488,0.4588273958483288,0.22838665714532147,0.2119309821766496,0.2531812430764498,0.24448731272983906,0.21675811274228318,0.2677826210701367,0.4199202111845575,0.2532828326580782,0.21645623048616305,0.3041207563048196,0.4464950116952433,0.7725198050239565,0.3122246058379915,0.8057845175988445,0.8251426615101218,0.32676247892042604,0.3400660195252311,0.45328831503622646,0.23876134224681322,0.8561383034217488,0.3913537669046423
NZ.H.48.2,0.2531135161049103,0.7377451257183936,0.2214169672768369,0.3570718928053975,0.3319545079077795,0.3500995585892799,0.31872168467598494,0.2882271504218864,0.0,0.4924324722315231,0.3088835769768709,0.7253564655018394,0.20220010591759138,0.272071193534986,0.3248228589462901,0.7891868891566561,0.3017047860022513,0.34119079508674544,0.2965351525833321,0.3204342499488422,0.2896187492314361,0.8191245726255513,0.34267877168596483,0.6932223992780201,0.3207269234894813,0.3632878564609638,0.46182271393625246,0.3431724675048059,0.294781579856953,0.2972227510174525,0.3144923710156075,0.32210496054686893,0.3565457802567474,0.4306633325694593,0.3834544383991733,0.3372465906569652,0.2942681030699672,0.43527965666550206,0.7625630594491019,0.29656028312623495,0.7522175555695899,0.7754428407744272,0.2771135337169249,0.2664944348683907,0.4294083517929367,0.3493488180232871,0.8076968359565254,0.43471929850649943
CP.L.48.1,0.5172921754019857,0.8337411293060785,0.5146771167028807,0.45875825110283064,0.5064933111204586,0.4514184155961405,0.4800875105642334,0.47795996859951595,0.49243247223152303,0.0,0.4934025952573055,0.8316589639981546,0.5092118134847091,0.5172669572691017,0.46180525786465804,0.8694948028959207,0.4731700809834329,0.4590359622524497,0.4711481310024597,0.4725155443077868,0.5007405529480817,0.9166796345310139,0.47873642915919284,0.807604197064145,0.4742146156855907,0.5501409078301268,0.3277184421987382,0.46641068914334816,0.4887634193052004,0.4717110887614417,0.49048706281227666,0.4616239362959067,0.48080324626727633,0.5547657135345733,0.5229114748959457,0.46816498026133296,0.48268040653006433,0.3806671203151006,0.8652463093452752,0.5056326908217074,0.8487347612293656,0.879774015390019,0.5458985307870428,0.5424915668966436,0.5747402406553601,0.4827053059695648,0.8984373414542223,0.5417802331518711
