taxon,COG_number,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
Collinsella aerofaciens TSDC17.2,29J48,0,0,0,3729600,3433900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collinsella aerofaciens TSDC17.2,2B1D0,0,0,0,0,0,0,0,0,0,0,315720,0,0,0,0,425760,0,0,0
Collinsella aerofaciens TSDC17.2,2B1DC,3729900,4752200,2477700,7568800,5252800,7779000,11820000,5662000,11632000,2344200,2446200,1949600,1596300,2831000,5108900,4807100,2033700,1303700,3986400
Collinsella aerofaciens TSDC17.2,2B2GS,0,0,0,0,0,0,0,0,0,584560,354650,0,0,0,0,310540,211860,0,254140
Collinsella aerofaciens TSDC17.2,2C0NQ,0,2181100,0,0,0,0,643500,808470,0,2196300,0,0,0,0,0,0,0,0,0
Collinsella aerofaciens TSDC17.2,2C4R5,80168000,97153000,139640000,173170000,150220000,28580000,1531400,1046500,2663100,42430000,63069000,42840000,21131000,65167000,70936000,83502000,44851000,27263000,65385000
Collinsella aerofaciens TSDC17.2,2DP8P,0,0,1515300,188680,316190,391860,0,420690,485590,0,0,0,0,0,0,0,0,0,0
Collinsella aerofaciens TSDC17.2,2E3FD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918610,0
Collinsella aerofaciens TSDC17.2,2EA06,0,0,0,0,0,0,0,0,0,479800,0,0,0,560010,0,815920,0,0,877340
Collinsella aerofaciens TSDC17.2,2F0J5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collinsella aerofaciens TSDC17.2,2F5KC,0,36936000,0,0,0,0,3340600,3194800,1521500,0,0,0,0,0,0,3619200,0,0,0
Collinsella aerofaciens TSDC17.2,COG0002,0,0,0,0,0,0,0,0,0,280500,0,0,268150,0,0,634200,0,0,614110
Collinsella aerofaciens TSDC17.2,COG0008,0,0,0,0,0,0,1159400,0,0,0,2368000,1286900,0,1832000,0,3139900,1765500,0,0
Collinsella aerofaciens TSDC17.2,COG0012,0,626260,372030,290110,497530,0,0,0,0,282780,0,254240,0,0,562000,130580,0,0,0
Collinsella aerofaciens TSDC17.2,COG0013,4141100,18485000,14549000,24358000,24828000,16618000,26002000,4044300,21355000,6564900,9148200,7169700,2016500,7851700,15668000,13706000,7316800,1258600,11401000
Collinsella aerofaciens TSDC17.2,COG0014,0,425670,0,592300,0,0,0,0,0,742510,0,456830,0,1128500,196700,1010900,0,0,1048900
Collinsella aerofaciens TSDC17.2,COG0015,1619900,2742200,6589800,6491200,6941200,4135500,5533400,2236800,5275900,2476300,2822100,1319400,1549200,2515300,2926400,4462600,2286100,1518300,2338900
Collinsella aerofaciens TSDC17.2,COG0017,4011500,17514000,12046000,25204000,15827000,808510,3086400,0,3474500,4881900,4417600,2762400,1868400,3347000,9316500,6395000,2910600,1460200,1464900
Collinsella aerofaciens TSDC17.2,COG0018,5135600,8549600,8429500,12741000,21765000,14869000,23343000,7762000,26539000,8846100,7106500,6112000,2133000,8068800,10778000,15186000,4832900,6326800,12181000
