,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0,0.308047155304972,0.31911532385466,0.32036947010209,0.301329394387001,0.392493297587131,0.398412698412698,0.416395222584148,0.381627296587926,0.405940594059406,0.390595903165736,0.411654135338346,0.397094430992736,0.413777161349977,0.388311045071818,0.425022999080037,0.403708987161198,0.375951293759513,0.416514598540146
LFQ.intensity.HiSF_14spcs_m06_2_148,0.308047155304972,0,0.289862455425369,0.224619911721432,0.237445148707947,0.382924335378323,0.401602403605408,0.42835288118307,0.383275261324042,0.388333333333333,0.394503546099291,0.400992331980153,0.399355135882082,0.405321507760532,0.38497874350496,0.419638925583443,0.407055630936228,0.368395540475036,0.401055408970976
LFQ.intensity.HiSF_14spcs_m07_2_149,0.31911532385466,0.289862455425369,0,0.274692874692875,0.268641975308642,0.3712,0.386708529565672,0.403329752953813,0.371887966804979,0.400425531914894,0.394424131627057,0.400372439478585,0.394083969465649,0.417876588021779,0.384577842850171,0.424626527840652,0.414033457249071,0.3715,0.4205105239588
LFQ.intensity.HiSF_14spcs_m10_2_150,0.32036947010209,0.224619911721432,0.274692874692875,0,0.21289710763395,0.406054781355118,0.413466097676624,0.441233140655106,0.398305084745763,0.349610176446451,0.358974358974359,0.372635283765948,0.382077574676772,0.383620689655172,0.364010989010989,0.399743480119709,0.385595081247255,0.388278388278388,0.381725021349274
LFQ.intensity.HiSF_14spcs_m13_2_151,0.301329394387001,0.237445148707947,0.268641975308642,0.21289710763395,0,0.393013100436681,0.399904214559387,0.430791646430306,0.392333175579744,0.367736692401463,0.368944636678201,0.381953569864214,0.37997317836388,0.396145610278373,0.36779505946935,0.40460947503201,0.39343544857768,0.365116279069767,0.380402225074882
LFQ.intensity.HiSF_15spcs_m03_1_132,0.392493297587131,0.382924335378323,0.3712,0.406054781355118,0.393013100436681,0,0.339655172413793,0.366255144032922,0.353828954723309,0.443910955914448,0.425521821631879,0.426977195536147,0.428925210500248,0.440814393939394,0.386328327291559,0.441915599810337,0.429756097560976,0.383641160949868,0.435211267605634
LFQ.intensity.HiSF_15spcs_m07_1_133,0.398412698412698,0.401602403605408,0.386708529565672,0.413466097676624,0.399904214559387,0.339655172413793,0,0.311485267588695,0.2371072910492,0.44885627967199,0.428169014084507,0.434928229665072,0.431651151396374,0.43449575871819,0.403553299492386,0.445850914205345,0.436206066441984,0.388744137571652,0.42676649508657
LFQ.intensity.HiSF_15spcs_m09_1_134,0.416395222584148,0.42835288118307,0.403329752953813,0.441233140655106,0.430791646430306,0.366255144032922,0.311485267588695,0,0.306327616794796,0.481917211328976,0.469754253308129,0.458800585080449,0.45681477783325,0.469747498808957,0.449948927477017,0.483199242782773,0.459499263622975,0.418037135278515,0.468205369759774
LFQ.intensity.HiSF_15spcs_m14_1_136,0.381627296587926,0.383275261324042,0.371887966804979,0.398305084745763,0.392333175579744,0.353828954723309,0.2371072910492,0.306327616794796,0,0.430782459157352,0.415270018621974,0.423969682614874,0.415085158150852,0.424440298507463,0.396292585170341,0.430633147113594,0.432637571157495,0.374806401652039,0.421975992613112
LFQ.intensity.PEFi_14spcs_m00_0_127,0.405940594059406,0.388333333333333,0.400425531914894,0.349610176446451,0.367736692401463,0.443910955914448,0.44885627967199,0.481917211328976,0.430782459157352,0,0.259515570934256,0.259700176366843,0.285272003538257,0.260226283724978,0.332897033158813,0.27453523562473,0.291684806269047,0.378657487091222,0.280970625798212
