,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0.0,0.3006827208793829,0.3587080970389998,0.3276304626759675,0.2972380387015339,0.4028579603048388,0.4754747353133443,0.4683073633479741,0.44598165195993233,0.44173367597215946,0.4291855210949386,0.45982405596380416,0.4507515765495643,0.4531260526634029,0.41149185565472957,0.47171512472800975,0.4525744306050813,0.4145129359108891,0.4543304684941113
LFQ.intensity.HiSF_14spcs_m06_2_148,0.3006827208793829,0.0,0.2920548168423661,0.23294400101628707,0.23338676078453519,0.37366560577174757,0.44925825165700345,0.4349964963547334,0.4199220019906682,0.44491663570135775,0.4265140415257184,0.46661832479934107,0.46340949807323745,0.45713956596282046,0.42022300136557317,0.4767397160044425,0.4547045359542302,0.4020192573387349,0.4437186986851086
LFQ.intensity.HiSF_14spcs_m07_2_149,0.3587080970389998,0.2920548168423661,0.0,0.2934752316670578,0.3067028687103387,0.3989057905482885,0.48528527332786275,0.45253562380895573,0.452120441361855,0.4938948896040418,0.47283399483282673,0.5118412229961211,0.5074651553819352,0.5002331240762456,0.4565839254142406,0.52136446427407,0.5021004594935868,0.4543149672561891,0.5013820387641336
LFQ.intensity.HiSF_14spcs_m10_2_150,0.3276304626759675,0.23294400101628707,0.2934752316670578,0.0,0.2384285891941778,0.3774222482646447,0.4608139094022108,0.4668714544079866,0.43148603102011646,0.4202399042249837,0.39544046724834736,0.4460657758507368,0.44997289898845055,0.42533437672146135,0.3868871788040252,0.4436030369843728,0.4429768489650839,0.4224219978134936,0.43350014786839763
LFQ.intensity.HiSF_14spcs_m13_2_151,0.2972380387015339,0.23338676078453519,0.3067028687103387,0.2384285891941778,0.0,0.3718864128248806,0.45329797916054865,0.45853380351573314,0.4280986632368434,0.43447383698492853,0.40684221005185317,0.44956474945730357,0.4486904908386703,0.43747085010724873,0.40036346738367984,0.45629107404879793,0.43290798576427925,0.3610229682106526,0.416920492348052
LFQ.intensity.HiSF_15spcs_m03_1_132,0.4028579603048388,0.37366560577174757,0.3989057905482885,0.3774222482646447,0.3718864128248806,0.0,0.3600707766476515,0.3776467915599585,0.33315200548706936,0.4743376274257116,0.4515233482261018,0.473388389881114,0.48669168125126056,0.47799282112248764,0.3762853251237476,0.48559207640497115,0.47995540244781326,0.39341922840522686,0.46252455376213014
LFQ.intensity.HiSF_15spcs_m07_1_133,0.4754747353133442,0.44925825165700345,0.48528527332786275,0.4608139094022108,0.45329797916054865,0.3600707766476515,0.0,0.3205296284343381,0.24513239072075657,0.4800757397084078,0.4565662643614692,0.45958615467174285,0.4890099994542545,0.46760049731685954,0.4149100921055629,0.4782329238935306,0.48699232110952645,0.4471519589064825,0.47751344872626145
LFQ.intensity.HiSF_15spcs_m09_1_134,0.4683073633479741,0.4349964963547334,0.45253562380895573,0.4668714544079866,0.45853380351573314,0.3776467915599585,0.3205296284343381,0.0,0.30009510478301693,0.5201910267813895,0.5059605663782436,0.5128505869110647,0.5260132498637654,0.5231435245671334,0.4844195137293099,0.5352202370646092,0.5222784059076073,0.48781708908386173,0.5212073218419067
LFQ.intensity.HiSF_15spcs_m14_1_136,0.44598165195993233,0.4199220019906682,0.452120441361855,0.43148603102011646,0.4280986632368435,0.33315200548706936,0.24513239072075657,0.30009510478301693,0.0,0.46517165823405343,0.43428585159768957,0.45900662932462,0.4760054531482876,0.45859124541568635,0.4123848372241315,0.4755531284983679,0.47054068550025546,0.4391645943056537,0.45718132240220727
LFQ.intensity.PEFi_14spcs_m00_0_127,0.44173367597215946,0.44491663570135775,0.49389488960404176,0.4202399042249837,0.43447383698492853,0.4743376274257116,0.4800757397084078,0.5201910267813895,0.46517165823405343,0.0,0.22414773902286997,0.20999457878054997,0.21930966496081503,0.2121929346266539,0.34336790267404727,0.2330319335728932,0.23531346659801125,0.4096470058436327,0.2750090396055995
LFQ.intensity.PEFi_14spcs_m01_1_128,0.4291855210949386,0.4265140415257184,0.47283399483282673,0.39544046724834736,0.40684221005185317,0.4515233482261018,0.4565662643614692,0.5059605663782436,0.43428585159768957,0.22414773902286997,0.0,0.2056580620335667,0.22994478273698155,0.18871300424990517,0.3196792557308785,0.23038274170705333,0.2065111023110218,0.39352763062185137,0.24526395529949377
LFQ.intensity.PEFi_14spcs_m02_1_129,0.45982405596380416,0.46661832479934107,0.5118412229961211,0.4460657758507368,0.44956474945730357,0.473388389881114,0.45958615467174285,0.5128505869110647,0.45900662932462,0.20999457878054997,0.2056580620335667,0.0,0.20507370147531467,0.1837169052640597,0.3455602025492742,0.2166891933590966,0.23288826306904287,0.3957525489911039,0.2491362084017796
LFQ.intensity.PEFi_14spcs_m04_1_130,0.4507515765495643,0.46340949807323745,0.5074651553819352,0.44997289898845055,0.4486904908386703,0.48669168125126056,0.4890099994542545,0.5260132498637654,0.4760054531482876,0.21930966496081503,0.22994478273698155,0.20507370147531467,0.0,0.21232349460105684,0.38025357887219713,0.24972363043661472,0.23053819033684214,0.4034322526772856,0.2777543572447024
LFQ.intensity.PEFi_14spcs_m13_1_131,0.4531260526634029,0.45713956596282046,0.5002331240762456,0.42533437672146135,0.43747085010724873,0.47799282112248764,0.46760049731685954,0.5231435245671334,0.45859124541568635,0.2121929346266539,0.18871300424990514,0.1837169052640597,0.21232349460105684,0.0,0.34778818467987677,0.21363199942248878,0.23200270315852403,0.40623267871044777,0.24751307228717256
LFQ.intensity.PEFi_15spcs_m05_2_142,0.41149185565472957,0.42022300136557317,0.4565839254142406,0.3868871788040252,0.40036346738367984,0.3762853251237476,0.4149100921055629,0.4844195137293099,0.4123848372241315,0.34336790267404727,0.3196792557308785,0.3455602025492742,0.38025357887219713,0.34778818467987677,0.0,0.32363471070999605,0.34331822819249,0.35538353801283656,0.3504604518577051
LFQ.intensity.PEFi_15spcs_m08_2_143,0.47171512472800975,0.4767397160044425,0.52136446427407,0.4436030369843728,0.45629107404879793,0.48559207640497115,0.4782329238935306,0.5352202370646091,0.4755531284983679,0.2330319335728932,0.23038274170705333,0.2166891933590966,0.24972363043661472,0.21363199942248878,0.32363471070999605,0.0,0.226779261208006,0.41513605767070566,0.23787891395257102
LFQ.intensity.PEFi_15spcs_m09_2_144,0.4525744306050813,0.4547045359542302,0.5021004594935868,0.4429768489650839,0.43290798576427925,0.47995540244781326,0.48699232110952645,0.5222784059076073,0.47054068550025546,0.23531346659801125,0.2065111023110218,0.23288826306904287,0.23053819033684214,0.23200270315852403,0.34331822819249,0.226779261208006,0.0,0.38797456005533404,0.22330843969516884
LFQ.intensity.PEFi_15spcs_m12_2_145,0.4145129359108891,0.4020192573387349,0.4543149672561891,0.4224219978134936,0.3610229682106526,0.39341922840522686,0.4471519589064825,0.48781708908386173,0.4391645943056537,0.4096470058436327,0.39352763062185137,0.3957525489911039,0.4034322526772856,0.40623267871044777,0.35538353801283656,0.41513605767070566,0.38797456005533404,0.0,0.3495829399839087
LFQ.intensity.PEFi_15spcs_m14_2_146,0.4543304684941113,0.4437186986851086,0.5013820387641336,0.43350014786839763,0.416920492348052,0.4625245537621301,0.47751344872626145,0.5212073218419067,0.45718132240220727,0.2750090396055995,0.24526395529949377,0.2491362084017796,0.2777543572447024,0.24751307228717256,0.3504604518577051,0.23787891395257102,0.22330843969516884,0.3495829399839087,0.0
