,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0,0.275110657133129,0.299166087560806,0.290777814243518,0.272278855639592,0.350572717806317,0.366495726495726,0.376306620209059,0.352901255514082,0.375772906127038,0.353173398117218,0.368437118437118,0.353841349156777,0.368691447567241,0.354767879548306,0.385095011876485,0.373224539135691,0.34963247043784,0.379106244451021
LFQ.intensity.HiSF_14spcs_m06_2_148,0.275110657133129,0,0.265047879616963,0.2124128775307,0.231195050472159,0.346192552834619,0.361111111111111,0.380856760374833,0.351245085190039,0.366154690071311,0.358921769704073,0.365976331360947,0.359723058398555,0.362889019377569,0.352673147023086,0.379867320449957,0.375876168224299,0.342538008067018,0.368906835881165
LFQ.intensity.HiSF_14spcs_m07_2_149,0.299166087560806,0.265047879616963,0,0.26108702900967,0.25794701986755,0.341233879400488,0.356799450549451,0.364178058184367,0.348845108695652,0.386503067484663,0.368879543406428,0.374240583232078,0.368974042027194,0.387529832935561,0.363353069492054,0.396820724168384,0.391524917934945,0.356325492689129,0.394143484626647
LFQ.intensity.HiSF_14spcs_m10_2_150,0.290777814243518,0.2124128775307,0.26108702900967,0,0.211168164313222,0.365452787624879,0.369161868202175,0.391472868217054,0.36782334384858,0.342663043478261,0.338252314814815,0.350320326150262,0.353166421207658,0.353584797005471,0.347193347193347,0.37316384180791,0.36308840413318,0.367857142857143,0.35918482875743
LFQ.intensity.HiSF_14spcs_m13_2_151,0.272278855639592,0.231195050472159,0.25794701986755,0.211168164313222,0,0.35856318152662,0.366465544617339,0.387034659820282,0.359522313010685,0.344112099164646,0.332180927686546,0.346075876049812,0.340594642331469,0.352672192054873,0.333531333531334,0.364327979712595,0.357428571428571,0.342326139088729,0.351297968397291
LFQ.intensity.HiSF_15spcs_m03_1_132,0.350572717806317,0.346192552834619,0.341233879400488,0.365452787624879,0.35856318152662,0,0.306457497263772,0.317590182223875,0.311985688729875,0.412658227848101,0.38860103626943,0.393275755706354,0.391794550579392,0.402064986334649,0.350339037778495,0.394003634161114,0.383050847457627,0.3449637919684,0.386892177589852
LFQ.intensity.HiSF_15spcs_m07_1_133,0.366495726495726,0.361111111111111,0.356799450549451,0.369161868202175,0.366465544617339,0.306457497263772,0,0.272589217919514,0.221889055472264,0.416037999441185,0.396801448400724,0.39859284184766,0.396208825357365,0.39854633555421,0.364649681528662,0.394879518072289,0.389431887599267,0.351060358890701,0.380995475113122
LFQ.intensity.HiSF_15spcs_m09_1_134,0.376306620209059,0.380856760374833,0.364178058184367,0.391472868217054,0.387034659820282,0.317590182223875,0.272589217919514,0,0.275810659709281,0.440730337078652,0.422890103217972,0.412841191066998,0.41514770584538,0.427137207179799,0.400191326530612,0.421865536038764,0.404518724852987,0.367184915646709,0.409393939393939
LFQ.intensity.HiSF_15spcs_m14_1_136,0.352901255514082,0.351245085190039,0.348845108695652,0.36782334384858,0.359522313010685,0.311985688729875,0.221889055472264,0.275810659709281,0,0.402391546162403,0.386043725666367,0.391580860084797,0.383142945353504,0.39160419790105,0.361320754716981,0.382220891948518,0.381543116490166,0.34248788368336,0.377645305514158
LFQ.intensity.PEFi_14spcs_m00_0_127,0.375772906127038,0.366154690071311,0.386503067484663,0.342663043478261,0.344112099164646,0.412658227848101,0.416037999441185,0.440730337078652,0.402391546162403,0,0.229388670779585,0.226897924367359,0.242942686056458,0.222442057659695,0.296974743269498,0.255717828602921,0.267329466998067,0.343818380743983,0.269565217391304
