,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0,1500039231.03786,2622796562.98352,2231515316.88347,2359734021.86147,4910869131.65479,4549730847.37527,7197273204.37298,5495998555.87709,5040422511.6709,3680779017.01618,4425354724.04213,4114182007.46446,3867593107.23163,6569660447.56662,4954041570.64118,4595871851.31572,8960832217.53047,5972558206.22766
LFQ.intensity.HiSF_14spcs_m06_2_148,1500039231.03786,0,1849482457.0294,1430780289.21823,1545708438.0386,4371791345.88273,4237882046.73575,6781895911.35406,5001940786.96989,5122591631.68159,3732546707.06325,4555877120.63979,4365754658.43536,4069480405.56656,6401939237.65095,5065474719.80226,4622513976.63362,8691305271.20733,5871232070.93982
LFQ.intensity.HiSF_14spcs_m07_2_149,2622796562.98352,1849482457.0294,0,1587508354.21122,1843931061.88821,3382132074.087,3420384444.54769,5651523582.35074,3970096039.73173,5100944424.31371,3853374590.92551,4732830313.29349,4691836043.20909,4376061392.03506,5852742800.30137,5068934902.91829,4594954661.82928,7904948779.14182,5588078531.5637
LFQ.intensity.HiSF_14spcs_m10_2_150,2231515316.88347,1430780289.21823,1587508354.21122,0,1328507170.75793,4005518991.45514,3932747302.24093,6357294025.63437,4538315940.02455,4900689026.59661,3574415673.91659,4446294316.28221,4350059332.26978,3990995838.17191,6171473780.24959,4956572815.01523,4439262180.21735,8407065111.93609,5660854210.08702
LFQ.intensity.HiSF_14spcs_m13_2_151,2359734021.86147,1545708438.0386,1843931061.88821,1328507170.75793,0,4218673584.51089,4199049346.28603,6701615741.09517,4794431472.73018,5436719032.8385,4061382112.90791,4946626696.4135,4812579641.30101,4456374942.09446,6571722364.83846,5376243827.62003,4882048349.93536,8627781839.87939,5958970806.02775
LFQ.intensity.HiSF_15spcs_m03_1_132,4910869131.65479,4371791345.88273,3382132074.087,4005518991.45514,4218673584.51089,0,2261077665.5163,3270965948.0913,2004956994.0306,5106834292.94239,4720477023.38135,5317663693.47513,5608881496.07858,5348175760.0582,4274804981.0232,4831741870.81597,4556964383.02919,5818292461.2891,4535601815.49107
LFQ.intensity.HiSF_15spcs_m07_1_133,4549730847.37527,4237882046.73575,3420384444.54769,3932747302.24093,4199049346.28603,2261077665.5163,0,3431481060.88426,1841680209.43533,4596975196.79891,4217577081.61052,4727092734.7461,4974775420.48953,4667651615.02498,4334505574.56617,4335573755.03937,4045665719.47972,6130836502.7931,4290028966.64141
LFQ.intensity.HiSF_15spcs_m09_1_134,7197273204.37298,6781895911.35406,5651523582.35074,6357294025.63437,6701615741.09517,3270965948.0913,3431481060.88426,0,2590154561.45654,6051038271.33318,6359764993.05444,6736163283.59621,7145515790.24776,6957542696.28724,4235245734.93823,5865006065.4713,5791951041.84011,4559236821.97783,5072504537.5072
LFQ.intensity.HiSF_15spcs_m14_1_136,5495998555.87709,5001940786.96989,3970096039.73173,4538315940.02455,4794431472.73018,2004956994.0306,1841680209.43533,2590154561.45654,0,4915206075.49452,4790983830.76871,5277765792.35759,5643632439.42434,5372242680.70549,4141129563.91909,4761508237.61304,4490076503.8756,5511074275.88493,4307003691.21365
LFQ.intensity.PEFi_14spcs_m00_0_127,5040422511.6709,5122591631.68159,5100944424.31371,4900689026.59661,5436719032.8385,5106834292.94239,4596975196.79891,6051038271.33318,4915206075.49452,0,2059838633.24652,1686752334.7072,2195688969.34722,2108667227.36975,3735682988.56732,2137812768.18277,1834283452.64134,6635695014.56127,3097051444.06824
