,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0,1201398504.05389,1827974397.21459,1500107040.11152,1443015807.43776,4413895541.78069,4171825700.84173,5117024095.23325,4461415950.87118,3628008115.45902,3005637766.54831,3475382098.68276,3262630168.70056,3115310419.0228,5051656776.34399,5178515727.18118,4845906098.63004,7979225925.99854,6517174309.55413
LFQ.intensity.HiSF_14spcs_m06_2_148,1201398504.05389,0,1297215140.66272,1016480950.02737,888231529.393748,4003912644.82443,3928651644.02775,4824696805.38493,4184943935.38167,3728722305.99876,3038604357.03871,3527844820.95412,3393634648.08631,3244806116.14223,4955715868.75659,5230279703.69337,4877362148.25891,7944588849.98512,6499943295.00871
LFQ.intensity.HiSF_14spcs_m07_2_149,1827974397.21459,1297215140.66272,0,1082357572.85021,1044886897.44553,3988679253.57616,3907608949.85612,4578667637.77671,4052708296.61631,3835461034.8079,3147196994.96482,3685695210.23998,3617718472.61324,3513434259.72288,5081625166.46615,5446100151.70038,5087462252.71795,7898025012.44296,6630134315.50408
LFQ.intensity.HiSF_14spcs_m10_2_150,1500107040.11152,1016480950.02737,1082357572.85021,0,802847968.070606,4027196648.47183,3827295670.14147,4665605578.1829,4049788402.70055,3591113729.59853,2942672643.03459,3440956406.77103,3340562293.55555,3189288700.85759,5035473417.77856,5276065334.74629,4895089646.43773,7959990204.89539,6533035112.80085
LFQ.intensity.HiSF_14spcs_m13_2_151,1443015807.43776,888231529.393748,1044886897.44553,802847968.070606,0,4065197453.93042,3952472949.46264,4827686351.52691,4210310416.29191,3593275796.96085,2871911862.9443,3383965036.31566,3286472327.09439,3134406641.51443,4950990018.01308,5257218284.21675,4898751410.63029,7942541629.07874,6516942759.87854
LFQ.intensity.HiSF_15spcs_m03_1_132,4413895541.78069,4003912644.82443,3988679253.57616,4027196648.47183,4065197453.93042,0,1781169695.77053,2221065750.61495,1807220846.16172,5751380738.74828,5297099626.03211,5635832985.1977,5529821602.57871,5292384125.78212,3841605108.87551,4233368272.80989,4000411002.68012,5744531511.49277,4750278154.02649
LFQ.intensity.HiSF_15spcs_m07_1_133,4171825700.84173,3928651644.02775,3907608949.85612,3827295670.14147,3952472949.46264,1781169695.77053,0,2299785687.24458,1627929078.7774,5601757691.50219,5179426006.66603,5499984316.52465,5330925066.33368,5013556457.82157,4176642007.61897,4311248598.71191,4003706409.97744,6097209073.08288,4987062475.25376
LFQ.intensity.HiSF_15spcs_m09_1_134,5117024095.23325,4824696805.38493,4578667637.77671,4665605578.1829,4827686351.52691,2221065750.61495,2299785687.24458,0,1431070740.07525,6130733017.58961,5871776387.62165,6258963035.70319,6205844904.90588,6049059680.50222,4276680507.56036,4513924563.39853,4285502964.50357,5264253438.07715,4758437056.59498
LFQ.intensity.HiSF_15spcs_m14_1_136,4461415950.87118,4184943935.38167,4052708296.61631,4049788402.70055,4210310416.29191,1807220846.16172,1627929078.7774,1431070740.07525,0,5682522973.06359,5345339135.83925,5705311940.76025,5627099317.3794,5426016520.51879,4097035950.58171,4039874949.35013,3722261591.5198,5513562611.35745,4516731400.71118
LFQ.intensity.PEFi_14spcs_m00_0_127,3628008115.45902,3728722305.99876,3835461034.8079,3591113729.59853,3593275796.96085,5751380738.74828,5601757691.50219,6130733017.58961,5682522973.06359,0,1358990236.16155,1217301066.61317,1526615466.34109,1809999925.00266,4471601349.60406,5111351937.57041,4857013378.98912,7935904520.10856,6490700826.45871
LFQ.intensity.PEFi_14spcs_m01_1_128,3005637766.54831,3038604357.03871,3147196994.96482,2942672643.03459,2871911862.9443,5297099626.03211,5179426006.66603,5871776387.62165,5345339135.83925,1358990236.16155,0,1039978768.62237,1134818278.39067,1432272522.90257,4304894427.06507,4904131331.83364,4610323972.63842,7802175906.13815,6347821419.50062
LFQ.intensity.PEFi_14spcs_m02_1_129,3475382098.68276,3527844820.95412,3685695210.23998,3440956406.77103,3383965036.31566,5635832985.1977,5499984316.52465,6258963035.70319,5705311940.76025,1217301066.61317,1039978768.62237,0,886282922.604392,1230533751.71029,4447792258.38475,5091281239.66529,4836303577.68204,8082147917.76332,6544904173.4465
LFQ.intensity.PEFi_14spcs_m04_1_130,3262630168.70056,3393634648.08631,3617718472.61324,3340562293.55555,3286472327.09439,5529821602.57871,5330925066.33368,6205844904.90588,5627099317.3794,1526615466.34109,1134818278.39067,886282922.604392,0,950939818.88667,4406353142.74662,4957982043.93708,4700494190.17328,8012925040.24798,6443885883.05091
LFQ.intensity.PEFi_14spcs_m13_1_131,3115310419.0228,3244806116.14223,3513434259.72288,3189288700.85759,3134406641.51443,5292384125.78212,5013556457.82157,6049059680.50222,5426016520.51879,1809999925.00266,1432272522.90257,1230533751.71029,950939818.88667,0,4363316364.77866,4926377286.56589,4643200382.03655,8014878882.28403,6412371624.38974
LFQ.intensity.PEFi_15spcs_m05_2_142,5051656776.34399,4955715868.75659,5081625166.46615,5035473417.77856,4950990018.01308,3841605108.87551,4176642007.61897,4276680507.56036,4097035950.58171,4471601349.60406,4304894427.06507,4447792258.38475,4406353142.74662,4363316364.77866,0,2695467868.85864,2809630783.45327,4238049721.72657,3402501362.69324
LFQ.intensity.PEFi_15spcs_m08_2_143,5178515727.18118,5230279703.69337,5446100151.70038,5276065334.74629,5257218284.21675,4233368272.80989,4311248598.71191,4513924563.39853,4039874949.35013,5111351937.57041,4904131331.83364,5091281239.66529,4957982043.93708,4926377286.56589,2695467868.85864,0,1020622650.95522,4009946112.47193,1806433118.89071
LFQ.intensity.PEFi_15spcs_m09_2_144,4845906098.63004,4877362148.25891,5087462252.71795,4895089646.43773,4898751410.63029,4000411002.68012,4003706409.97744,4285502964.50357,3722261591.5198,4857013378.98912,4610323972.63842,4836303577.68204,4700494190.17328,4643200382.03655,2809630783.45327,1020622650.95522,0,4294629760.90817,2159801687.73767
LFQ.intensity.PEFi_15spcs_m12_2_145,7979225925.99854,7944588849.98512,7898025012.44296,7959990204.89539,7942541629.07874,5744531511.49277,6097209073.08288,5264253438.07715,5513562611.35745,7935904520.10856,7802175906.13815,8082147917.76332,8012925040.24798,8014878882.28403,4238049721.72657,4009946112.47193,4294629760.90817,0,2814939707.1759
LFQ.intensity.PEFi_15spcs_m14_2_146,6517174309.55413,6499943295.00871,6630134315.50408,6533035112.80085,6516942759.87854,4750278154.02649,4987062475.25376,4758437056.59498,4516731400.71118,6490700826.45871,6347821419.50062,6544904173.4465,6443885883.05091,6412371624.38974,3402501362.69324,1806433118.89071,2159801687.73767,2814939707.1759,0
