,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0,0.301042571676803,0.360585197934596,0.311092222694433,0.298811544991511,0.394072887464958,0.4190970834998,0.425333872925941,0.424509411293552,0.417614559636009,0.398089171974522,0.396876109336173,0.395008912655972,0.397006414825374,0.40420399724328,0.43029490616622,0.436880370125578,0.433532094002105,0.438383838383838
LFQ.intensity.HiSF_14spcs_m06_2_148,0.301042571676803,0,0.344362211580322,0.282683982683983,0.295270558159352,0.393659711075441,0.421893727526968,0.420496136640911,0.421623794212219,0.430093639005489,0.404518178609248,0.402763018065887,0.399216524216524,0.398930481283422,0.412087912087912,0.434738955823293,0.437127729980146,0.438725490196078,0.44021556079488
LFQ.intensity.HiSF_14spcs_m07_2_149,0.360585197934596,0.344362211580322,0,0.345034246575342,0.339719029374202,0.425343018563358,0.447983870967742,0.436130632492766,0.442816442816443,0.463697967086157,0.428520625889047,0.439646017699115,0.434627716423228,0.445467422096317,0.447305183659458,0.475682878081279,0.471560846560847,0.441344778254649,0.472175379426644
LFQ.intensity.HiSF_14spcs_m10_2_150,0.311092222694433,0.282683982683983,0.345034246575342,0,0.291000841042893,0.393520347688661,0.410693069306931,0.426236044657097,0.421052631578947,0.410264686894771,0.402579295921924,0.403631284916201,0.39337328163553,0.387393767705382,0.40578231292517,0.427860696517413,0.422544495715227,0.436916695471829,0.42218487394958
LFQ.intensity.HiSF_14spcs_m13_2_151,0.298811544991511,0.295270558159352,0.339719029374202,0.291000841042893,0,0.378164556962025,0.408572552103814,0.401846647932557,0.399363564041368,0.405466237942122,0.387355920363255,0.388383484954514,0.382529059528003,0.388479100807868,0.378220542768808,0.41025641025641,0.408715747771542,0.415855354659249,0.413422818791946
LFQ.intensity.HiSF_15spcs_m03_1_132,0.394072887464958,0.393659711075441,0.425343018563358,0.393520347688661,0.378164556962025,0,0.305857740585774,0.305106382978723,0.304128053917439,0.449202875898718,0.442683749157114,0.457831325301205,0.448497129348193,0.459214501510574,0.366874135546335,0.393541876892028,0.389445557782231,0.373304782298358,0.385114373506316
LFQ.intensity.HiSF_15spcs_m07_1_133,0.4190970834998,0.421893727526968,0.447983870967742,0.410693069306931,0.408572552103814,0.305857740585774,0,0.273286467486819,0.249008373732922,0.472455648926237,0.465725806451613,0.470449966420416,0.470528797574941,0.469298245614035,0.39021027231989,0.403313049357674,0.406082887700535,0.386461318051576,0.393887362637363
LFQ.intensity.HiSF_15spcs_m09_1_134,0.425333872925941,0.420496136640911,0.436130632492766,0.426236044657097,0.401846647932557,0.305106382978723,0.273286467486819,0,0.274293286219081,0.47927135678392,0.468345813478557,0.476756023074313,0.476336397684712,0.483892845032214,0.401388888888889,0.413287904599659,0.408998646820027,0.378743608473338,0.400624349635796
LFQ.intensity.HiSF_15spcs_m14_1_136,0.424509411293552,0.421623794212219,0.442816442816443,0.421052631578947,0.399363564041368,0.304128053917439,0.249008373732922,0.274293286219081,0,0.472482801751094,0.466239027683997,0.478173270651444,0.470030477480528,0.476029709655638,0.393708952644314,0.399727613210759,0.400943396226415,0.376086956521739,0.396278428669883
LFQ.intensity.PEFi_14spcs_m00_0_127,0.417614559636009,0.430093639005489,0.463697967086157,0.410264686894771,0.405466237942122,0.449202875898718,0.472455648926237,0.47927135678392,0.472482801751094,0,0.263157894736842,0.230744336569579,0.236986744261235,0.234855847100745,0.31664656212304,0.336285798641866,0.322209096278795,0.407701352145797,0.361957796014068
