,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0,0.165455209077606,0.213982763257065,0.191765127960111,0.194342288109278,0.326496872282571,0.357092634231312,0.356938273870298,0.355547765310651,0.332346307837614,0.311516577052765,0.335186597687344,0.322102562425458,0.317546135170188,0.346045610881282,0.39144984689276,0.38672375202077,0.411325517692004,0.41597617559408
LFQ.intensity.HiSF_14spcs_m06_2_148,0.165455209077606,0,0.163152141023734,0.128546868799195,0.139847860151403,0.297519195858609,0.33440220973065,0.339973613081015,0.330773914032972,0.343960936370442,0.31251211751546,0.346356010324264,0.338962710215659,0.331299682282821,0.348037022474388,0.394019388437269,0.389697725232578,0.404591987014982,0.405664802512774
LFQ.intensity.HiSF_14spcs_m07_2_149,0.213982763257065,0.163152141023734,0,0.167069033404088,0.173795720057055,0.30909544800927,0.346135293446911,0.337745186131472,0.336499965441785,0.376465019670731,0.339413701181405,0.374030701302571,0.370717939344482,0.368397310880172,0.381312517220683,0.424046110585787,0.415436141342369,0.416086040418038,0.432773319315463
LFQ.intensity.HiSF_14spcs_m10_2_150,0.191765127960111,0.128546868799195,0.167069033404088,0,0.135546859926402,0.31142177553275,0.33794648550569,0.357424642480667,0.335367849349702,0.342419982347229,0.305950351907291,0.34423272181434,0.33720524823845,0.330045531510339,0.35403732146274,0.387551268736311,0.387243359972918,0.41420413916441,0.406834491630131
LFQ.intensity.HiSF_14spcs_m13_2_151,0.194342288109278,0.139847860151403,0.173795720057055,0.135546859926402,0,0.317824618189235,0.332822553497769,0.355849097306269,0.332509721605738,0.355318675375718,0.31837428974577,0.356951353031979,0.350762237095243,0.341973383453144,0.365979135270641,0.393693314189182,0.394129613753516,0.397347386176519,0.395297799976541
LFQ.intensity.HiSF_15spcs_m03_1_132,0.326496872282571,0.297519195858609,0.30909544800927,0.31142177553275,0.317824618189235,0,0.199456558992784,0.209377883768863,0.202462113996095,0.421812322400455,0.40504767492663,0.429832911120458,0.428059214495616,0.412576016934602,0.302448109619774,0.351070164762956,0.351069156496556,0.343071086876036,0.354650860038766
LFQ.intensity.HiSF_15spcs_m07_1_133,0.357092634231312,0.33440220973065,0.346135293446911,0.33794648550569,0.332822553497769,0.199456558992784,0,0.186276321276294,0.147200139652594,0.424702630019292,0.412925714499845,0.431944925852314,0.431995650156655,0.41350311150701,0.329500710348394,0.356499119088095,0.358894632069749,0.351912648474206,0.359655784509477
LFQ.intensity.HiSF_15spcs_m09_1_134,0.356938273870298,0.339973613081015,0.337745186131472,0.357424642480667,0.355849097306269,0.209377883768863,0.186276321276294,0,0.160224845330467,0.435911957800981,0.424135189947131,0.447197948845086,0.446228140387336,0.440428994519961,0.332758357576038,0.369708446815888,0.358194385206105,0.332884564425132,0.361974072067844
LFQ.intensity.HiSF_15spcs_m14_1_136,0.355547765310651,0.330773914032972,0.336499965441785,0.335367849349702,0.332509721605738,0.202462113996095,0.147200139652594,0.160224845330467,0,0.43560881608163,0.41605796558697,0.447878984798236,0.446486788979971,0.434292237400708,0.339452662273623,0.348264453412536,0.346458825384667,0.331357995418004,0.338654896748163
LFQ.intensity.PEFi_14spcs_m00_0_127,0.332346307837614,0.343960936370442,0.376465019670731,0.342419982347229,0.355318675375718,0.421812322400455,0.424702630019292,0.435911957800981,0.43560881608163,0,0.132799097196102,0.109170306988244,0.124090027439599,0.130448753362846,0.244168039782833,0.27847338157769,0.2789413958866,0.384965397167589,0.340009219102011
LFQ.intensity.PEFi_14spcs_m01_1_128,0.311516577052765,0.31251211751546,0.339413701181405,0.305950351907291,0.31837428974577,0.40504767492663,0.412925714499845,0.424135189947131,0.41605796558697,0.132799097196102,0,0.107076467850012,0.115570898769356,0.123786944618367,0.241381208041207,0.267153518599373,0.256444229915368,0.374387532495256,0.32559221965221
LFQ.intensity.PEFi_14spcs_m02_1_129,0.335186597687344,0.346356010324264,0.374030701302571,0.34423272181434,0.356951353031979,0.429832911120458,0.431944925852314,0.447197948845086,0.447878984798236,0.109170306988244,0.107076467850012,0,0.0933347791673253,0.106333629585032,0.243776933273849,0.288557217233144,0.286482440735728,0.393225072952463,0.352879460318355
LFQ.intensity.PEFi_14spcs_m04_1_130,0.322102562425458,0.338962710215659,0.370717939344482,0.33720524823845,0.350762237095243,0.428059214495616,0.431995650156655,0.446228140387336,0.446486788979971,0.124090027439599,0.115570898769356,0.0933347791673253,0,0.101832972383841,0.256537079153995,0.288718179018408,0.284288218078774,0.396513192588496,0.351956621306925
