,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0,1552953901.06908,2187457356.77023,2044082293.08119,2286224317.22366,4524702130.19207,4457695447.678,5336633431.6307,4764598421.17084,3758387914.94424,3131797934.79825,3639414895.80614,3431746726.95447,3269071130.06569,5136972210.63524,5312478288.15774,4952214409.47602,8101035570.19187,6664618082.92754
LFQ.intensity.HiSF_14spcs_m06_2_148,1552953901.06908,0,1514365121.51115,1275001085.44928,1522062859.02132,4119317695.44078,4282605464.62084,5080192610.46704,4448368898.4102,3996835514.67951,3284785403.01912,3871191608.42527,3746429465.51328,3555801749.87541,5142644023.89538,5447526565.74994,5068660973.9505,8055376368.19538,6661831493.93328
LFQ.intensity.HiSF_14spcs_m07_2_149,2187457356.77023,1514365121.51115,0,1364179049.47261,1688296722.16708,4146637671.10952,4343069537.82723,4871389583.96759,4382839688.31734,4171212732.23096,3469132973.4867,4090741509.34828,4026563312.80242,3882254886.941,5316112490.81,5731647319.73239,5337155622.48529,8051221727.50477,6856083749.47845
LFQ.intensity.HiSF_14spcs_m10_2_150,2044082293.08119,1275001085.44928,1364179049.47261,0,1309348425.96038,4205473481.23828,4349572427.94784,5048142901.91479,4405591994.40126,4032702888.86763,3355989185.43707,3978026478.05977,3892989141.44433,3682856805.31871,5328638053.61147,5604563257.9648,5206522569.03522,8126934064.94838,6769723227.49829
LFQ.intensity.HiSF_14spcs_m13_2_151,2286224317.22366,1522062859.02132,1688296722.16708,1309348425.96038,0,4320130241.72788,4559472079.63043,5326155421.61508,4603216589.2583,4245169248.8666,3516924624.57929,4167269584.73203,4083594564.81945,3867207032.088,5399187728.92272,5701861122.36095,5317734766.039,8077240175.45689,6755036878.05649
LFQ.intensity.HiSF_15spcs_m03_1_132,4524702130.19207,4119317695.44078,4146637671.10952,4205473481.23828,4320130241.72788,0,2229720886.56387,2627986561.75121,2215463222.77707,5896027061.24706,5416725352.03334,5810724197.54979,5716662190.3194,5447476632.41212,3975109923.4437,4433734768.16178,4176881442.25689,5852815622.7192,4921188705.93731
LFQ.intensity.HiSF_15spcs_m07_1_133,4457695447.678,4282605464.62084,4343069537.82723,4349572427.94784,4559472079.63043,2229720886.56387,0,2514425580.30561,1968235734.89507,5778910836.77629,5368558733.76096,5682400985.66037,5542760058.90397,5207350072.5997,4375495625.60964,4502938707.93021,4237576886.96655,6326041922.34493,5189684111.01718
LFQ.intensity.HiSF_15spcs_m09_1_134,5336633431.6307,5080192610.46704,4871389583.96759,5048142901.91479,5326155421.61508,2627986561.75121,2514425580.30561,0,1876365677.78123,6329209095.36429,6076684644.14491,6464490539.60755,6424814971.96935,6257722211.41569,4550146720.77568,4807400187.55354,4576863778.12874,5557418078.96191,5069601451.55883
LFQ.intensity.HiSF_15spcs_m14_1_136,4764598421.17084,4448368898.4102,4382839688.31734,4405591994.40126,4603216589.2583,2215463222.77707,1968235734.89507,1876365677.78123,0,5942281261.80236,5590476075.05721,5994526203.24031,5931847916.62273,5705058563.01662,4420391951.52674,4366934614.52578,4065794475.99003,5710360615.79277,4748908917.82072
LFQ.intensity.PEFi_14spcs_m00_0_127,3758387914.94424,3996835514.67951,4171212732.23096,4032702888.86763,4245169248.8666,5896027061.24706,5778910836.77629,6329209095.36429,5942281261.80236,0,1436487460.12779,1288136867.44345,1583534969.57246,1852653013.76584,4518746576.55758,5144170499.75756,4885579589.37924,8087222439.25519,6590245693.19226
LFQ.intensity.PEFi_14spcs_m01_1_128,3131797934.79825,3284785403.01912,3469132973.4867,3355989185.43707,3516924624.57929,5416725352.03334,5368558733.76096,6076684644.14491,5590476075.05721,1436487460.12779,0,1165528786.58555,1248364150.10578,1476034337.56108,4350569850.80659,4940534460.71622,4632990418.78011,7927594471.17655,6433102268.71696
LFQ.intensity.PEFi_14spcs_m02_1_129,3639414895.80614,3871191608.42527,4090741509.34828,3978026478.05977,4167269584.73203,5810724197.54979,5682400985.66037,6464490539.60755,5994526203.24031,1288136867.44345,1165528786.58555,0,929428817.44083,1268221685.22939,4495616540.54448,5133963987.55625,4879399908.73845,8254498250.06731,6668557169.83775
LFQ.intensity.PEFi_14spcs_m04_1_130,3431746726.95447,3746429465.51328,4026563312.80242,3892989141.44433,4083594564.81945,5716662190.3194,5542760058.90397,6424814971.96935,5931847916.62273,1583534969.57246,1248364150.10578,929428817.44083,0,1010707595.91487,4467933508.65179,5006603367.89258,4741746113.83948,8183527297.28567,6569812300.28514
LFQ.intensity.PEFi_14spcs_m13_1_131,3269071130.06569,3555801749.87541,3882254886.941,3682856805.31871,3867207032.088,5447476632.41212,5207350072.5997,6257722211.41569,5705058563.01662,1852653013.76584,1476034337.56108,1268221685.22939,1010707595.91487,0,4404678008.79608,4958939937.32592,4674088283.46645,8162836194.38321,6516003410.05725
LFQ.intensity.PEFi_15spcs_m05_2_142,5136972210.63524,5142644023.89538,5316112490.81,5328638053.61147,5399187728.92272,3975109923.4437,4375495625.60964,4550146720.77568,4420391951.52674,4518746576.55758,4350569850.80659,4495616540.54448,4467933508.65179,4404678008.79608,0,2795240214.20653,2905088063.95596,4472197737.73187,3622861312.73886
LFQ.intensity.PEFi_15spcs_m08_2_143,5312478288.15774,5447526565.74994,5731647319.73239,5604563257.9648,5701861122.36095,4433734768.16178,4502938707.93021,4807400187.55354,4366934614.52578,5144170499.75756,4940534460.71622,5133963987.55625,5006603367.89258,4958939937.32592,2795240214.20653,0,1134276715.98831,4275731820.1594,2014230431.17427
LFQ.intensity.PEFi_15spcs_m09_2_144,4952214409.47602,5068660973.9505,5337155622.48529,5206522569.03522,5317734766.039,4176881442.25689,4237576886.96655,4576863778.12874,4065794475.99003,4885579589.37924,4632990418.78011,4879399908.73845,4741746113.83948,4674088283.46645,2905088063.95596,1134276715.98831,0,4492850436.44555,2312315823.38343
LFQ.intensity.PEFi_15spcs_m12_2_145,8101035570.19187,8055376368.19538,8051221727.50477,8126934064.94838,8077240175.45689,5852815622.7192,6326041922.34493,5557418078.96191,5710360615.79277,8087222439.25519,7927594471.17655,8254498250.06731,8183527297.28567,8162836194.38321,4472197737.73187,4275731820.1594,4492850436.44555,0,2989178976.81891
LFQ.intensity.PEFi_15spcs_m14_2_146,6664618082.92754,6661831493.93328,6856083749.47845,6769723227.49829,6755036878.05649,4921188705.93731,5189684111.01718,5069601451.55883,4748908917.82072,6590245693.19226,6433102268.71696,6668557169.83775,6569812300.28514,6516003410.05725,3622861312.73886,2014230431.17427,2312315823.38343,2989178976.81891,0
