,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
LFQ.intensity.HiSF_14spcs_m04_2_147,0.0,0.2064791891388402,0.2838378199982108,0.23683513623040703,0.23553441656579438,0.36886416913823783,0.37166996485660364,0.4158439985113701,0.38255375573113826,0.39840733690279795,0.37550612533561456,0.40910421271411596,0.3963972642559484,0.3961359574507158,0.3812873118164284,0.4059786047676576,0.4120411881092741,0.43180373793823873,0.41327017665286087
LFQ.intensity.HiSF_14spcs_m06_2_148,0.2064791891388402,0.0,0.2228195107572777,0.1772977775674773,0.1727535261075712,0.32907792812460407,0.3519485842894987,0.38213039188735737,0.35443734867194343,0.403413161666303,0.37300893605971386,0.4153033384032746,0.40626063706555565,0.39969697964757867,0.37424905085263194,0.40829055531689123,0.40978053013605076,0.40194569346781056,0.3996666582068527
LFQ.intensity.HiSF_14spcs_m07_2_149,0.2838378199982108,0.2228195107572777,0.0,0.22344724652483192,0.23114011697860481,0.31677773564316714,0.348249936137685,0.3544392467162311,0.3339400779791907,0.43382943643089505,0.40578944788095317,0.4435279278753831,0.4447220405786827,0.4385319462377735,0.36862848683558785,0.4493623754389147,0.4420759978873371,0.37986446888079345,0.42446622225016406
LFQ.intensity.HiSF_14spcs_m10_2_150,0.23683513623040703,0.1772977775674773,0.22344724652483192,0.0,0.1698790299002399,0.3385185306099273,0.3424671848442918,0.3843577286690903,0.34846036967903765,0.38393622623563584,0.35595798747504065,0.3968569059542362,0.394568953513517,0.3865957351492324,0.3511445364592167,0.3966819573854759,0.3969176681115162,0.3921430442433742,0.3799636556107902
LFQ.intensity.HiSF_14spcs_m13_2_151,0.23553441656579438,0.1727535261075712,0.23114011697860481,0.1698790299002399,0.0,0.3421558005902107,0.34587676140162843,0.39241668857422973,0.3490447957898605,0.4101295763097166,0.38024108040253535,0.421115012491551,0.41608659683735455,0.40702925847115395,0.38288761511610175,0.4102487332850937,0.41093002714157845,0.40247022401922494,0.393933591075676
LFQ.intensity.HiSF_15spcs_m03_1_132,0.36886416913823783,0.32907792812460407,0.31677773564316714,0.3385185306099273,0.34215580059021067,0.0,0.25577785004825515,0.24767468439760884,0.22338858247757878,0.4658688602982051,0.4512705434357735,0.4807625131774449,0.485192395155417,0.47623265987338537,0.3576419400497525,0.45168250072574584,0.44762657961002605,0.3416818110492702,0.41733186712423953
LFQ.intensity.HiSF_15spcs_m07_1_133,0.37166996485660364,0.35194858428949866,0.348249936137685,0.3424671848442918,0.34587676140162843,0.25577785004825515,0.0,0.24449218449704602,0.18287471265281482,0.4506567940325467,0.4403525160070607,0.4682890899797274,0.4710681645274937,0.4607989285188301,0.362580363691235,0.42652385682806376,0.42912666665802557,0.3792866594549158,0.40609062630950804
LFQ.intensity.HiSF_15spcs_m09_1_134,0.4158439985113701,0.38213039188735737,0.3544392467162311,0.3843577286690903,0.39241668857422973,0.24767468439760884,0.24449218449704602,0.0,0.2125153080751703,0.49851928513855387,0.48094320915761846,0.51305390681974,0.5159412737559232,0.5086727943963305,0.3956391808771219,0.4872772772770119,0.47582679902842356,0.3699713874176171,0.4543345783410946
LFQ.intensity.HiSF_15spcs_m14_1_136,0.38255375573113826,0.35443734867194343,0.3339400779791907,0.34846036967903765,0.3490447957898605,0.22338858247757878,0.18287471265281482,0.2125153080751703,0.0,0.45929582296745086,0.43906736644559247,0.4759093250521054,0.4786648828308039,0.46919930408515326,0.36382061189038684,0.43685451592947905,0.4337501633011016,0.3497129305245484,0.4044120656781941
LFQ.intensity.PEFi_14spcs_m00_0_127,0.39840733690279795,0.403413161666303,0.43382943643089505,0.38393622623563584,0.4101295763097166,0.4658688602982051,0.4506567940325467,0.49851928513855387,0.45929582296745086,0.0,0.16127098478185276,0.13919147526653375,0.1527197428451343,0.1472581866125195,0.2904817676627954,0.23314593207415124,0.22006898860682664,0.40006208449406855,0.2800496628731149
LFQ.intensity.PEFi_14spcs_m01_1_128,0.37550612533561456,0.37300893605971386,0.40578944788095317,0.35595798747504065,0.38024108040253535,0.4512705434357735,0.4403525160070607,0.48094320915761846,0.43906736644559247,0.16127098478185276,0.0,0.1493293467402446,0.15356882549292514,0.1514415243992831,0.28449858943081857,0.2230099802927265,0.2075346396805734,0.38217491663290437,0.25772391291159846
LFQ.intensity.PEFi_14spcs_m02_1_129,0.40910421271411596,0.4153033384032746,0.4435279278753831,0.3968569059542362,0.421115012491551,0.4807625131774449,0.4682890899797274,0.51305390681974,0.4759093250521054,0.13919147526653375,0.1493293467402446,0.0,0.12136916271009393,0.1269002356271157,0.295305572698639,0.24320299638300463,0.2339030233435599,0.412742620937767,0.2941136486998938
LFQ.intensity.PEFi_14spcs_m04_1_130,0.3963972642559484,0.40626063706555565,0.4447220405786827,0.394568953513517,0.41608659683735455,0.485192395155417,0.4710681645274937,0.5159412737559231,0.4786648828308039,0.1527197428451343,0.15356882549292514,0.12136916271009393,0.0,0.12436426166607639,0.3141505088898267,0.24107430964768448,0.23951399900872936,0.41614398651890894,0.3004272644468498
LFQ.intensity.PEFi_14spcs_m13_1_131,0.3961359574507157,0.39969697964757867,0.4385319462377735,0.3865957351492324,0.40702925847115395,0.47623265987338537,0.4607989285188301,0.5086727943963305,0.4691993040851533,0.1472581866125195,0.1514415243992831,0.1269002356271157,0.12436426166607639,0.0,0.3025371629731094,0.23315796243093823,0.22931490719045036,0.4104895353484224,0.285161667387976
